"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","SI",2023-08-26,88.3,3.61,3.57,"Kolarek, Adam",519058,592473,"field_out","hit_into_play",NA,NA,NA,NA,13,"Mike Moustakas grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.","R","L","L","NYM","LAA","X",6,"ground_ball",0,1,2023,0.62,0.22,-0.85,1.87,NA,NA,NA,2,7,"Top",151.45,153.89,NA,NA,NA,NA,-12.2019305378558,-128.067203171068,1.54995731689201,9.28138817374892,26.1230503381461,-30.3668429348755,3.44,1.61,95,89.3,5,88.7,2317,6.7,716840,553882,624413,643446,660620,596019,542364,607043,621466,53.8,0.409,0.368,0,1,0,0,4,58,2,"Sinker",3,5,5,3,5,3,5,3,"Infield shade","Standard",110,0.008,-0.23,64.6,7.4,0.438,0.23,89.3,-2,2,0.201,0.799,34,34,34,35,1,3,1,1,NA,2,2.72,0.62,0.62,-11.5
"2","SL",2023-08-26,77.5,3.65,3.68,"Kolarek, Adam",519058,592473,"","called_strike",NA,NA,NA,NA,2,"Mike Moustakas grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.","R","L","L","NYM","LAA","S",NA,"",0,0,2023,-1.38,0.65,-0.01,3.4,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,-5.32933209522531,-112.640637632313,5.24693728079343,-10.6356463730803,21.6580404489339,-27.9386629303686,3.43,1.59,NA,NA,NA,77.7,2386,6.6,716840,553882,624413,643446,660620,596019,542364,607043,621466,53.87,NA,NA,NA,NA,NA,NA,NA,58,1,"Slider",3,5,5,3,5,3,5,3,"Infield shade","Standard",274,0,-0.045,NA,NA,NA,0.045,NA,-2,2,0.201,0.799,34,34,34,35,1,3,1,1,NA,2,3.17,-1.38,-1.38,-12.1
"3","SL",2023-08-26,78.9,3.58,3.46,"Kolarek, Adam",592273,592473,"strikeout","called_strike",NA,NA,NA,NA,9,"Brandon Drury called out on strikes.","R","R","L","NYM","LAA","S",2,"",0,2,2023,-1.02,0.8,0.69,1.88,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,-4.3729535677446,-114.752568174351,1.97264102449803,-8.06702536734925,23.7887785296324,-25.8090011402738,3.66,1.77,NA,NA,NA,78.5,2487,6.3,716840,553882,624413,643446,660620,596019,542364,607043,621466,54.17,NA,0,0,1,0,0,NA,57,3,"Slider",3,5,5,3,5,3,5,3,"Standard","Standard",271,0.011,-0.17,NA,NA,NA,0.17,NA,-2,2,0.19,0.81,34,30,34,31,1,3,1,1,NA,1,2.9,-1.02,1.02,-13.1
"4","FF",2023-08-26,88.5,3.7,3.55,"Kolarek, Adam",592273,592473,"","called_strike",NA,NA,NA,NA,13,"Brandon Drury called out on strikes.","R","R","L","NYM","LAA","S",NA,"",0,1,2023,0.77,0.53,-0.86,2.55,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,-12.8058169687873,-128.245410705336,2.59357859558131,11.0731140057773,25.0948035287318,-27.1107243654418,3.63,1.68,NA,NA,NA,89.1,2247,6.8,716840,553882,624413,643446,660620,596019,542364,607043,621466,53.72,NA,NA,NA,NA,NA,NA,NA,57,2,"4-Seam Fastball",3,5,5,3,5,3,5,3,"Standard","Standard",117,0,-0.057,NA,NA,NA,0.057,NA,-2,2,0.19,0.81,34,30,34,31,1,3,1,1,NA,1,2.39,0.77,-0.77,-10.8
"5","FF",2023-08-26,88.4,3.67,3.48,"Kolarek, Adam",592273,592473,"","swinging_strike",NA,NA,NA,NA,6,"Brandon Drury called out on strikes.","R","R","L","NYM","LAA","S",NA,"",0,0,2023,1.38,0.71,0.29,3.01,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,-11.1533815778978,-128.226513398257,3.52632876634407,17.553654828423,26.414992754258,-25.3767593137659,3.63,1.77,NA,NA,NA,88.8,2235,6.7,716840,553882,624413,643446,660620,596019,542364,607043,621466,53.79,NA,NA,NA,NA,NA,NA,NA,57,1,"4-Seam Fastball",3,5,5,3,5,3,5,3,"Standard","Standard",99,0,-0.041,73.6,7.3,NA,0.041,NA,-2,2,0.19,0.81,34,30,34,31,1,3,1,1,NA,1,2.23,1.38,-1.38,-15.6
"6","SL",2023-08-26,76.4,3.66,3.52,"Kolarek, Adam",660271,592473,"field_out","hit_into_play",NA,NA,NA,NA,4,"Shohei Ohtani flies out to center fielder Brandon Nimmo.","R","L","L","NYM","LAA","X",8,"fly_ball",1,0,2023,-1.19,0.79,-0.66,2.35,NA,NA,NA,0,7,"Top",139.92,94.02,NA,NA,NA,NA,-7.00398323822457,-111.010396358074,3.27646466084291,-8.32837155244316,22.0803046536575,-26.6270149593223,3.44,1.6,265,76.1,37,76.5,2244,6.7,716840,553882,624413,643446,660620,596019,542364,607043,621466,53.81,0.117,0.114,0,1,0,0,3,56,2,"Slider",3,5,5,3,5,3,5,3,"Infield shade","Standard",276,0.014,-0.306,68.9,7.8,0.163,0.306,88,-2,2,0.176,0.824,34,28,34,29,1,3,1,1,NA,1,3.16,-1.19,-1.19,-12.5
"7","SI",2023-08-26,86.1,3.65,3.19,"Kolarek, Adam",660271,592473,"","ball",NA,NA,NA,NA,11,"Shohei Ohtani flies out to center fielder Brandon Nimmo.","R","L","L","NYM","LAA","B",NA,"",0,0,2023,1.21,-0.3,-1.44,2.74,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,NA,NA,-14.5285243546586,-124.461506416928,5.87765469416224,15.4281156005682,23.8208383996654,-36.8637743529588,3.52,1.65,NA,NA,NA,86.2,2155,6.6,716840,553882,624413,643446,660620,596019,542364,607043,621466,53.89,NA,NA,NA,NA,NA,NA,NA,56,1,"Sinker",3,5,5,3,5,3,5,3,"Infield shade","Standard",84,0,0.04,NA,NA,NA,-0.04,NA,-2,2,0.176,0.824,34,28,34,29,1,3,1,1,NA,1,3.4,1.21,1.21,-23
"8","SL",2023-08-25,77.2,3.8,3.9,"Kolarek, Adam",519058,592473,"strikeout","swinging_strike",NA,NA,NA,NA,13,"Mike Moustakas strikes out swinging.  Andrew Velazquez steals (12) 2nd base.","R","L","L","NYM","LAA","S",2,"",1,2,2023,-1.25,0.58,-1.47,1.18,NA,NA,623205,1,8,"Top",NA,NA,NA,NA,NA,NA,-8.99975675165476,-111.989131703634,0.272805776584899,-8.49691546522108,23.4117475356396,-27.6879492380344,3.43,1.61,NA,NA,NA,77.2,2428,6.8,716855,682626,624413,664901,660620,596019,641796,607043,643446,53.67,NA,0,0,1,0,0,NA,59,5,"Slider",1,2,2,1,2,1,2,1,"Infield shade","Standard",285,0.015,-0.183,31.3,7.5,NA,0.183,NA,-1,1,0.245,0.755,34,34,34,35,1,3,3,2,1,1,3.32,-1.25,-1.25,-5.7
"9","FF",2023-08-25,89.5,3.9,3.82,"Kolarek, Adam",519058,592473,"","foul",NA,NA,NA,NA,4,"Mike Moustakas strikes out swinging.  Andrew Velazquez steals (12) 2nd base.","R","L","L","NYM","LAA","S",NA,"",1,2,2023,1.23,0.51,-0.75,2.49,NA,NA,623205,1,8,"Top",NA,NA,NA,NA,NA,NA,-14.0759219534461,-129.569006321804,1.71073545372257,16.7707309884835,26.0746398875893,-27.0723277364144,3.43,1.61,253,83.7,47,89.5,2156,6.5,716855,682626,624413,664901,660620,596019,641796,607043,643446,54.01,NA,NA,NA,NA,NA,NA,NA,59,4,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Infield shade","Standard",99,0,0,63.3,6.9,NA,0,88,-1,1,0.245,0.755,34,34,34,35,1,3,3,2,1,1,2.36,1.23,1.23,-8.4
"10","SI",2023-08-25,87.3,4.25,3.32,"Kolarek, Adam",519058,592473,"","foul",NA,NA,NA,NA,14,"Mike Moustakas strikes out swinging.  Andrew Velazquez steals (12) 2nd base.","R","L","L","NYM","LAA","S",NA,"",1,1,2023,1.13,-0.5,0.94,2.11,NA,NA,623205,1,8,"Top",NA,NA,NA,NA,NA,NA,-10.2722415533424,-126.566505189008,4.34083577540917,14.3211482895828,26.4448787736026,-38.7917512206423,3.43,1.61,3,67.7,-32,87.1,2318,6.4,716855,682626,624413,664901,660620,596019,641796,607043,643446,54.1,NA,NA,NA,NA,NA,NA,NA,59,3,"Sinker",1,2,2,1,2,1,2,1,"Strategic","Standard",101,0,-0.055,73.4,7.4,NA,0.055,88,-1,1,0.245,0.755,34,34,34,35,1,3,3,2,1,1,3.52,1.13,1.13,-19.4
