"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","SI",2024-09-28,95.1,-1.84,6.13,"Hoeing, Bryan",672515,663773,"strikeout","swinging_strike",NA,NA,NA,NA,6,"Gabriel Moreno strikes out swinging.","R","R","R","AZ","SD","S",2,"",2,2,2024,-1.33,0.57,0.65,2.45,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,NA,NA,9.49466921817677,-138.165374115867,-5.26225542350108,-19.1535931500016,30.5500591728758,-23.8750430060695,3.39,1.54,NA,NA,NA,95.1,2005,6.4,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.13,NA,0,0,1,0,0,NA,54,5,"Sinker",0,0,0,0,0,0,0,0,"Strategic","Standard",231,-0.02,-0.219,73,7,NA,0.219,NA,0,0,0.52,0.52,27,24,28,24,1,2,2,1,4,1,1.96,1.33,1.33,31.7
"2","FS",2024-09-28,87.3,-1.66,6.34,"Hoeing, Bryan",672515,663773,"","ball",NA,NA,NA,NA,14,"Gabriel Moreno strikes out swinging.","R","R","R","AZ","SD","B",NA,"",1,2,2024,-0.46,-0.1,0.85,0.5,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,NA,NA,6.98461850728216,-126.897801943102,-7.74457212828311,-6.27631726443205,24.2338660309664,-31.985602447589,3.35,1.57,NA,NA,NA,87.7,1034,6.4,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.08,NA,NA,NA,NA,NA,NA,NA,54,4,"Split-Finger",0,0,0,0,0,0,0,0,"Strategic","Standard",256,0,0.039,NA,NA,NA,-0.039,NA,0,0,0.52,0.52,27,24,28,24,1,2,2,1,4,1,3.09,0.46,0.46,39.2
"3","SI",2024-09-28,95.6,-2,6,"Hoeing, Bryan",672515,663773,"","called_strike",NA,NA,NA,NA,14,"Gabriel Moreno strikes out swinging.","R","R","R","AZ","SD","S",NA,"",1,1,2024,-1.39,0.6,0.85,2.16,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,NA,NA,10.6225285321576,-138.717640339461,-5.84748842313314,-20.3568144113371,30.4298460363883,-23.2637286177571,3.41,1.57,NA,NA,NA,95.5,2013,6.3,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.18,NA,NA,NA,NA,NA,NA,NA,54,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",239,0,-0.064,NA,NA,NA,0.064,NA,0,0,0.52,0.52,27,24,28,24,1,2,2,1,4,1,1.9,1.39,1.39,27.9
"4","SI",2024-09-28,95.2,-1.9,6.13,"Hoeing, Bryan",672515,663773,"","ball",NA,NA,NA,NA,11,"Gabriel Moreno strikes out swinging.","R","R","R","AZ","SD","B",NA,"",0,1,2024,-1.41,0.64,-1.48,3.04,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,NA,NA,4.26514412541432,-138.545231353765,-3.91517472610672,-19.0893307252327,30.6820668106323,-23.2854921795306,3.44,1.58,NA,NA,NA,95.4,2021,6.4,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.14,NA,NA,NA,NA,NA,NA,NA,54,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",228,0,0.029,NA,NA,NA,-0.029,NA,0,0,0.52,0.52,27,24,28,24,1,2,2,1,4,1,1.87,1.41,1.41,34
"5","SL",2024-09-28,84.9,-1.67,6.17,"Hoeing, Bryan",672515,663773,"","called_strike",NA,NA,NA,NA,3,"Gabriel Moreno strikes out swinging.","R","R","R","AZ","SD","S",NA,"",0,0,2024,0.19,-0.42,0.51,3,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,NA,NA,4.72863504285547,-123.674649796393,-0.272167144280264,0.982946847269438,24.7567283049968,-36.6049737801593,3.27,1.48,NA,NA,NA,84.9,2203,6.3,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.23,NA,NA,NA,NA,NA,NA,NA,54,1,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",52,0,-0.041,NA,NA,NA,0.041,NA,0,0,0.52,0.52,27,24,28,24,1,2,2,1,4,1,3.57,-0.19,-0.19,37.3
"6","SI",2024-09-28,94.2,-1.83,6.1,"Hoeing, Bryan",553993,663773,"field_out","hit_into_play",NA,NA,NA,NA,14,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.","R","R","R","AZ","SD","X",4,"ground_ball",3,1,2024,-1.46,0.42,0.9,2.07,NA,NA,NA,1,7,"Bot",147.77,146.45,NA,NA,NA,NA,10.2884963390598,-136.734039725991,-5.70921611472559,-20.4660699134718,28.0800168633466,-25.7737989657548,3.43,1.57,16,104,-6,94.3,1878,6.3,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.16,0.317,0.294,0,1,0,0,2,53,5,"Sinker",0,0,0,0,0,0,0,0,"Strategic","Standard",235,-0.028,-0.424,71.9,7.7,0.324,0.424,104,0,0,0.548,0.548,27,32,28,33,1,2,2,1,4,1,2.14,1.46,1.46,31
"7","SI",2024-09-28,93.9,-1.94,6.08,"Hoeing, Bryan",553993,663773,"","called_strike",NA,NA,NA,NA,1,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.","R","R","R","AZ","SD","S",NA,"",3,0,2024,-1.32,0.43,-0.6,2.83,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,NA,NA,6.38684605621793,-136.655514037902,-3.67247374222397,-17.9464121479762,28.5671090664503,-26.2256511878772,3.36,1.52,NA,NA,NA,94.1,2039,6.3,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.23,NA,NA,NA,NA,NA,NA,NA,53,4,"Sinker",0,0,0,0,0,0,0,0,"Strategic","Standard",236,0,-0.081,NA,NA,NA,0.081,NA,0,0,0.548,0.548,27,32,28,33,1,2,2,1,4,1,2.15,1.32,1.32,30
"8","SI",2024-09-28,94.9,-1.93,6.07,"Hoeing, Bryan",553993,663773,"","ball",NA,NA,NA,NA,14,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.","R","R","R","AZ","SD","B",NA,"",2,0,2024,-1.39,0.64,1.52,1.54,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,NA,NA,12.0917169735302,-137.517149618183,-7.62456232266853,-20.2146298141623,28.2937709962194,-22.5334567264025,3.36,1.52,NA,NA,NA,95,2072,6.4,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.1,NA,NA,NA,NA,NA,NA,NA,53,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",229,0,0.139,NA,NA,NA,-0.139,NA,0,0,0.548,0.548,27,32,28,33,1,2,2,1,4,1,1.9,1.39,1.39,31.7
"9","SI",2024-09-28,94.8,-1.9,6.09,"Hoeing, Bryan",553993,663773,"","ball",NA,NA,NA,NA,14,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.","R","R","R","AZ","SD","B",NA,"",1,0,2024,-1.35,0.53,1.22,1.48,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,NA,NA,11.1833775379016,-137.518894989707,-7.59772125338661,-19.4983552399809,28.312427681929,-23.8990671018781,3.46,1.57,NA,NA,NA,95.1,1980,6.5,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.04,NA,NA,NA,NA,NA,NA,NA,53,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",231,0,0.072,NA,NA,NA,-0.072,NA,0,0,0.548,0.548,27,32,28,33,1,2,2,1,4,1,2,1.35,1.35,33.1
"10","SL",2024-09-28,84.5,-1.73,6.11,"Hoeing, Bryan",553993,663773,"","ball",NA,NA,NA,NA,14,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.","R","R","R","AZ","SD","B",NA,"",0,0,2024,0.11,-0.22,1.39,1.5,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,NA,NA,7.04361914476718,-122.960737910473,-3.95362916947695,-0.207805723305938,23.6919787695074,-33.8766500316673,3.34,1.57,NA,NA,NA,84.6,2249,6.3,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.24,NA,NA,NA,NA,NA,NA,NA,53,1,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",50,0,0.039,NA,NA,NA,-0.039,NA,0,0,0.548,0.548,27,32,28,33,1,2,2,1,4,1,3.41,-0.11,-0.11,37
