"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","CH",2021-09-18,86.8,-3.08,5.59,"Wilson, Bryse",506702,669060,"field_out","hit_into_play",NA,NA,NA,NA,7,"Sandy Leon grounds out, first baseman Yoshi Tsutsugo to pitcher Bryse Wilson.","R","L","R","MIA","PIT","X",3,"ground_ball",1,2,2021,-1.2,-0.01,-0.79,1.87,NA,NA,NA,2,5,"Bot",162.57,168.43,NA,NA,NA,NA,7.98082991285128,-126.173460090123,-2.63246593544558,-14.4777291200603,27.7840583333341,-31.9236582105806,3.3,1.5,45,72.9,3,86.8,1442,6.5,632448,605421,660294,660829,663647,621028,546990,668804,657061,53.95,0.143,0.109,0,1,0,0,2,45,4,"Changeup",2,5,2,5,5,2,2,5,"Infield shift","Standard",252,-0.01,-0.188,NA,NA,0.151,0.188,88,-3,-3,0.138,0.138,23,32,24,32,2,0,6,3,NA,2,3.06,1.2,-1.2,35.7
"2","CH",2021-09-18,84.8,-3.04,5.68,"Wilson, Bryse",506702,669060,"","foul_tip",NA,NA,NA,NA,13,"Sandy Leon grounds out, first baseman Yoshi Tsutsugo to pitcher Bryse Wilson.","R","L","R","MIA","PIT","S",NA,"",1,1,2021,-1.18,-0.11,-1.37,1.57,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,NA,NA,6.27847065256533,-123.273760994733,-2.98801246758606,-13.2686067291228,26.3048965068929,-32.8829477715977,3.3,1.5,NA,NA,NA,84.7,1428,6.5,632448,605421,660294,660829,663647,621028,546990,668804,657061,54.02,NA,NA,NA,NA,NA,NA,NA,45,3,"Changeup",2,5,2,5,5,2,2,5,"Infield shift","Standard",250,0,-0.069,NA,NA,NA,0.069,NA,-3,-3,0.138,0.138,23,32,24,32,2,0,6,3,NA,2,3.31,1.18,-1.18,38.8
"3","FF",2021-09-18,92.8,-2.86,5.72,"Wilson, Bryse",506702,669060,"","called_strike",NA,NA,NA,NA,4,"Sandy Leon grounds out, first baseman Yoshi Tsutsugo to pitcher Bryse Wilson.","R","L","R","MIA","PIT","S",NA,"",1,0,2021,-0.73,1.19,-0.4,2.04,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,NA,NA,7.92614059934314,-134.80716286569,-6.20632482676237,-10.7452783668488,32.643901142761,-16.4806956301854,3.23,1.48,NA,NA,NA,92.8,1973,6.6,632448,605421,660294,660829,663647,621028,546990,668804,657061,53.86,NA,NA,NA,NA,NA,NA,NA,45,2,"4-Seam Fastball",2,5,2,5,5,2,2,5,"Infield shift","Standard",227,0,-0.051,NA,NA,NA,0.051,NA,-3,-3,0.138,0.138,23,32,24,32,2,0,6,3,NA,2,1.49,0.73,-0.73,41.1
"4","CU",2021-09-18,73.5,-3.06,5.75,"Wilson, Bryse",506702,669060,"","ball",NA,NA,NA,NA,11,"Sandy Leon grounds out, first baseman Yoshi Tsutsugo to pitcher Bryse Wilson.","R","L","R","MIA","PIT","B",NA,"",0,0,2021,1.21,-0.66,-3.08,2.82,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,NA,NA,-2.13835320400032,-106.905765536889,2.62496632760827,9.57059611394671,20.8611558415934,-37.9750371560694,3.19,1.45,NA,NA,NA,73.1,2006,6.3,632448,605421,660294,660829,663647,621028,546990,668804,657061,54.22,NA,NA,NA,NA,NA,NA,NA,45,1,"Curveball",2,5,2,5,5,2,2,5,"Infield shift","Standard",47,0,0.04,NA,NA,NA,-0.04,NA,-3,-3,0.138,0.138,23,32,24,32,2,0,6,3,NA,2,4.93,-1.21,1.21,39
"5","SI",2021-09-18,92.6,-2.94,5.63,"Wilson, Bryse",657193,669060,"field_out","hit_into_play",NA,NA,NA,NA,2,"Eddy Alvarez lines out to center fielder Bryan Reynolds.","R","L","R","MIA","PIT","X",8,"line_drive",0,2,2021,-1.4,0.71,-0.21,2.91,NA,NA,NA,1,5,"Bot",110.06,89.67,NA,NA,NA,NA,10.0322212169974,-134.457937179834,-2.64617766909556,-19.2511835057456,30.5208049648411,-23.2001896858895,3.05,1.45,277,97.1,14,92.5,1854,6.5,632448,605421,660294,660829,663647,621028,546990,668804,657061,54.03,0.851,0.824,0,1,0,0,4,44,5,"Sinker",2,5,2,5,5,2,2,5,"Infield shift","Strategic",234,-0.016,-0.16,NA,NA,1.042,0.16,97.1,-3,-3,0.154,0.154,23,31,24,31,2,1,6,1,NA,1,1.97,1.4,-1.4,36.5
"6","CU",2021-09-18,77.6,-2.99,5.55,"Wilson, Bryse",657193,669060,"","foul",NA,NA,NA,NA,13,"Eddy Alvarez lines out to center fielder Bryan Reynolds.","R","L","R","MIA","PIT","S",NA,"",0,2,2021,1.78,-0.5,-0.99,2.07,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,NA,NA,1.01010468293867,-112.923613312943,0.459419881871069,14.9212816808726,22.737432368838,-36.7160699020075,3.05,1.45,1,60.9,-53,77.4,2199,6.4,632448,605421,660294,660829,663647,621028,546990,668804,657061,54.1,NA,NA,NA,NA,NA,NA,NA,44,4,"Curveball",2,5,2,5,5,2,2,5,"Infield shift","Strategic",49,0,0,NA,NA,NA,0,88,-3,-3,0.154,0.154,23,31,24,31,2,1,6,1,NA,1,4.31,-1.78,1.78,38.1
"7","FF",2021-09-18,93.7,-2.87,5.74,"Wilson, Bryse",657193,669060,"","foul",NA,NA,NA,NA,2,"Eddy Alvarez lines out to center fielder Bryan Reynolds.","R","L","R","MIA","PIT","S",NA,"",0,2,2021,-0.93,1.4,0.02,2.98,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,NA,NA,9.54436779282915,-135.978550915538,-4.40519022793395,-13.7702523106146,32.4548156118134,-14.0610568757281,3.05,1.45,200,68.1,41,93.4,2232,6.4,632448,605421,660294,660829,663647,621028,546990,668804,657061,54.06,NA,NA,NA,NA,NA,NA,NA,44,3,"4-Seam Fastball",2,5,2,5,5,2,2,5,"Infield shift","Strategic",228,0,0,NA,NA,NA,0,88,-3,-3,0.154,0.154,23,31,24,31,2,1,6,1,NA,1,1.23,0.93,-0.93,41.5
"8","CU",2021-09-18,77.6,-3.13,5.56,"Wilson, Bryse",657193,669060,"","swinging_strike",NA,NA,NA,NA,14,"Eddy Alvarez lines out to center fielder Bryan Reynolds.","R","L","R","MIA","PIT","S",NA,"",0,1,2021,1.89,-0.49,0.97,1.38,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,NA,NA,5.30979752040902,-112.784748518416,-0.929421748743446,14.6782129942873,25.3976987181858,-36.3620896972489,3.05,1.45,NA,NA,NA,77.1,2394,6.6,632448,605421,660294,660829,663647,621028,546990,668804,657061,53.94,NA,NA,NA,NA,NA,NA,NA,44,2,"Curveball",2,5,2,5,5,2,2,5,"Infield shift","Strategic",46,0,-0.056,NA,NA,NA,0.056,NA,-3,-3,0.154,0.154,23,31,24,31,2,1,6,1,NA,1,4.36,-1.89,1.89,40
"9","CU",2021-09-18,76.3,-3,5.65,"Wilson, Bryse",657193,669060,"","called_strike",NA,NA,NA,NA,5,"Eddy Alvarez lines out to center fielder Bryan Reynolds.","R","L","R","MIA","PIT","S",NA,"",0,0,2021,1.47,-0.34,0.16,1.94,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,NA,NA,4.0176697142735,-110.957006481007,-0.041045691822164,11.1595835324929,22.9916802273672,-35.1654474744758,3.16,1.38,NA,NA,NA,76.1,2273,6.6,632448,605421,660294,660829,663647,621028,546990,668804,657061,53.92,NA,NA,NA,NA,NA,NA,NA,44,1,"Curveball",2,5,2,5,5,2,2,5,"Infield shift","Strategic",50,0,-0.043,NA,NA,NA,0.043,NA,-3,-3,0.154,0.154,23,31,24,31,2,1,6,1,NA,1,4.31,-1.47,1.47,38.3
"10","FF",2021-09-18,91.4,-2.75,5.71,"Wilson, Bryse",663743,669060,"home_run","hit_into_play",NA,NA,NA,NA,2,"Nick Fortes homers (1) on a fly ball to left center field.   Lewin Diaz scores.","R","R","R","MIA","PIT","X",NA,"fly_ball",0,0,2021,-0.97,1.2,-0.21,3.02,NA,NA,650331,1,5,"Bot",55.97,46.91,NA,NA,NA,NA,8.48663466696383,-132.776860475455,-3.41762094925667,-13.3710275226017,30.8834833301758,-17.5024608836789,3.32,1.51,413,104.5,27,91,1994,6.4,632448,605421,660294,660829,663647,621028,546990,668804,657061,54.14,0.911,1.784,2,1,0,3,6,43,1,"4-Seam Fastball",0,5,0,5,5,2,2,5,"Standard","Standard",228,0.086,1.467,NA,NA,3.531,-1.467,104.5,-5,-5,0.068,0.068,23,24,24,25,2,1,6,NA,NA,1,1.56,0.97,0.97,36.9
