"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","SI",2021-10-03,98.4,-1.11,6.33,"Holmes, Clay",443558,605280,"field_out","hit_into_play",NA,NA,NA,NA,11,"Nelson Cruz grounds out, third baseman Rougned Odor to first baseman Anthony Rizzo.","R","R","R","NYY","TB","X",5,"ground_ball",1,1,2021,-1.22,0.67,-0.84,2.54,NA,NA,NA,1,6,"Top",92.01,144.32,NA,NA,NA,NA,3.55478959155888,-143.156599591153,-6.39323758196766,-17.539841986895,33.372459249041,-21.6666319211454,3.47,1.59,7,98.8,-19,98.5,2282,6.4,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.14,0.171,0.135,0,1,0,0,2,38,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",223,0.025,-0.249,NA,NA,0.199,0.249,98.8,0,0,0.533,0.467,28,40,28,41,1,2,2,1,2,4,1.69,1.22,1.22,46.5
"2","SL",2021-10-03,88,-1.04,6.45,"Holmes, Clay",443558,605280,"","ball",NA,NA,NA,NA,11,"Nelson Cruz grounds out, third baseman Rougned Odor to first baseman Anthony Rizzo.","R","R","R","NYY","TB","B",NA,"",0,1,2021,0.17,-0.18,-0.52,4.15,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,NA,NA,0.916743078360338,-128.207781441826,0.826240509986134,1.68429213803465,24.1140941320678,-34.5100736529931,3.79,1.73,NA,NA,NA,88,2485,6,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.5,NA,NA,NA,NA,NA,NA,NA,38,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",72,0,0.033,NA,NA,NA,-0.033,NA,0,0,0.533,0.467,28,40,28,41,1,2,2,1,2,4,3.09,-0.17,-0.17,46.6
"3","SI",2021-10-03,97.8,-1.09,6.4,"Holmes, Clay",443558,605280,"","called_strike",NA,NA,NA,NA,4,"Nelson Cruz grounds out, third baseman Rougned Odor to first baseman Anthony Rizzo.","R","R","R","NYY","TB","S",NA,"",0,0,2021,-1.44,0.49,-0.56,2.54,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,NA,NA,4.73758853444963,-142.219991695635,-6.01825315323755,-20.6615465879577,33.2706788784791,-24.2602676727151,3.83,1.81,NA,NA,NA,97.5,2221,6.2,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.3,NA,NA,NA,NA,NA,NA,NA,38,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",218,0,-0.043,NA,NA,NA,0.043,NA,0,0,0.533,0.467,28,40,28,41,1,2,2,1,2,4,1.9,1.44,1.44,47.4
"4","SL",2021-10-03,87.9,-1.06,6.45,"Holmes, Clay",677551,605280,"field_out","hit_into_play",NA,NA,NA,NA,2,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","X",4,"popup",3,2,2021,0.27,-0.31,-0.16,2.8,NA,NA,NA,0,6,"Top",130.03,131.16,NA,NA,NA,NA,1.65170219626127,-128.155681362014,-2.1732309301211,2.62431114974295,24.3732019392259,-35.3688813456355,3.3,1.5,173,79.5,60,88,2400,6.1,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.4,0.014,0.013,0,1,0,0,3,37,7,"Slider",0,0,0,0,0,0,0,0,"Standard","Strategic",59,0.033,-0.354,NA,NA,0.018,0.354,88,0,0,0.5,0.5,28,20,28,20,1,2,2,1,2,4,3.23,-0.27,0.27,48.2
"5","SI",2021-10-03,97.5,-1.16,6.34,"Holmes, Clay",677551,605280,"","ball",NA,NA,NA,NA,12,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","B",NA,"",2,2,2021,-1.34,0.29,1.56,2.4,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,NA,NA,10.3577374760783,-141.615968543175,-5.75088384292817,-20.3504621228461,31.6049568728239,-27.1261150738368,3.27,1.5,NA,NA,NA,97.3,2167,6.3,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.25,NA,NA,NA,NA,NA,NA,NA,37,6,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",232,0,0.113,NA,NA,NA,-0.113,NA,0,0,0.5,0.5,28,20,28,20,1,2,2,1,2,4,2.11,1.34,-1.34,43.8
"6","SI",2021-10-03,97.4,-1.2,6.34,"Holmes, Clay",677551,605280,"","foul",NA,NA,NA,NA,13,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","S",NA,"",2,2,2021,-1.44,0.52,-1.12,1.81,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,NA,NA,3.52167853140241,-141.630408041814,-7.79371343738165,-20.112312741762,33.6265875404216,-23.5885459223852,3.3,1.5,4,71.7,-25,97.1,2150,6.3,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.23,NA,NA,NA,NA,NA,NA,NA,37,5,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",223,0,0,NA,NA,NA,0,88,0,0,0.5,0.5,28,20,28,20,1,2,2,1,2,4,1.9,1.44,-1.44,45.3
"7","SI",2021-10-03,97.8,-1.09,6.43,"Holmes, Clay",677551,605280,"","foul",NA,NA,NA,NA,7,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","S",NA,"",2,1,2021,-1.35,0.44,-0.51,1.5,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,NA,NA,4.64213818302886,-142.205800175373,-8.81104114116745,-19.3696007466733,30.9111523061967,-24.4127429176605,3.3,1.5,2,92.6,-40,97.8,2108,6.2,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.31,NA,NA,NA,NA,NA,NA,NA,37,4,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",219,0,-0.074,NA,NA,NA,0.074,92.6,0,0,0.5,0.5,28,20,28,20,1,2,2,1,2,4,1.93,1.35,-1.35,46.8
"8","SI",2021-10-03,97.9,-1,6.48,"Holmes, Clay",677551,605280,"","ball",NA,NA,NA,NA,14,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","B",NA,"",1,1,2021,-1.36,0.44,0.81,1.28,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,NA,NA,7.98773667871482,-142.077820013972,-9.53599460605179,-20.2289488231768,31.4264372713612,-24.1621913239531,3.3,1.5,NA,NA,NA,97.6,2207,6.2,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.31,NA,NA,NA,NA,NA,NA,NA,37,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",219,0,0.058,NA,NA,NA,-0.058,NA,0,0,0.5,0.5,28,20,28,20,1,2,2,1,2,4,1.94,1.36,-1.36,49.1
"9","SL",2021-10-03,88,-1.21,6.38,"Holmes, Clay",677551,605280,"","ball",NA,NA,NA,NA,11,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","B",NA,"",0,1,2021,0.28,-0.15,-1.04,2.54,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,NA,NA,-0.164499917899826,-128.363002293164,-3.01935584385422,3.13462310972138,23.2610616689304,-33.4348217872608,3.29,1.57,NA,NA,NA,88.3,2347,6.1,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.44,NA,NA,NA,NA,NA,NA,NA,37,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Strategic",25,0,0.03,NA,NA,NA,-0.03,NA,0,0,0.5,0.5,28,20,28,20,1,2,2,1,2,4,3.04,-0.28,0.28,46
"10","SI",2021-10-03,95.5,-1.19,6.45,"Holmes, Clay",677551,605280,"","called_strike",NA,NA,NA,NA,2,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","S",NA,"",0,0,2021,-1.27,0.5,-0.14,2.93,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,NA,NA,5.62260697538427,-139.038749018745,-4.80287682201273,-17.7751130372802,29.2029197638928,-24.8171138653236,3.34,1.5,NA,NA,NA,95.5,2175,6.1,632239,596142,519203,650402,596059,570482,608336,458731,592450,54.39,NA,NA,NA,NA,NA,NA,NA,37,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",220,0,-0.042,NA,NA,NA,0.042,NA,0,0,0.5,0.5,28,20,28,20,1,2,2,1,2,4,1.98,1.27,-1.27,45.7
