"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","SI",2021-10-01,94.4,-0.62,5.78,"Castillo, Diego",608686,650895,"single","hit_into_play",NA,NA,NA,NA,1,"Jack Mayfield singles on a ground ball to shortstop J.  P. Crawford.","R","R","R","SEA","LAA","X",6,"ground_ball",1,1,2021,-1.52,0.41,-0.4,2.8,NA,NA,NA,2,9,"Top",111.92,132.85,NA,NA,NA,NA,3.82732581769142,-137.331131296421,-2.89249566947998,-20.0219256181145,32.4518047420815,-26.5213969155417,3.32,1.51,127,78.9,10,92,1988,5,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.5,0.406,0.37,0.9,1,1,0,4,62,3,"Sinker",1,2,2,1,2,1,2,1,"Standard","Standard",234,-0.009,0.325,NA,NA,0.439,-0.325,88,-1,1,0.186,0.814,27,30,27,31,1,3,2,1,NA,1,2.16,1.52,1.52,27.4
"2","SL",2021-10-01,85.9,-0.9,5.73,"Castillo, Diego",608686,650895,"","called_strike",NA,NA,NA,NA,6,"Jack Mayfield singles on a ground ball to shortstop J.  P. Crawford.","R","R","R","SEA","LAA","S",NA,"",1,0,2021,0.18,0.38,0.68,2.29,NA,NA,NA,2,9,"Top",NA,NA,NA,NA,NA,NA,3.34080580462472,-125.218559411864,-2.76213150347672,1.32201702919736,20.6115556047354,-27.8310045411909,3.07,1.51,NA,NA,NA,85.1,2277,5.2,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.27,NA,NA,NA,NA,NA,NA,NA,62,2,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",190,0,-0.051,NA,NA,NA,0.051,NA,-1,1,0.186,0.814,27,30,27,31,1,3,2,1,NA,1,2.65,-0.18,-0.18,26.1
"3","SI",2021-10-01,94.4,-0.74,5.8,"Castillo, Diego",608686,650895,"","ball",NA,NA,NA,NA,14,"Jack Mayfield singles on a ground ball to shortstop J.  P. Crawford.","R","R","R","SEA","LAA","B",NA,"",0,0,2021,-1.57,0.48,1.09,1.1,NA,NA,NA,2,9,"Top",NA,NA,NA,NA,NA,NA,8.07529022729916,-137.059700738327,-7.42092804888409,-21.5621060781822,31.6030723576716,-24.6299580714067,3.21,1.51,NA,NA,NA,92.4,2040,5.3,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.21,NA,NA,NA,NA,NA,NA,NA,62,1,"Sinker",1,2,2,1,2,1,2,1,"Standard","Standard",234,0,0.04,NA,NA,NA,-0.04,NA,-1,1,0.186,0.814,27,30,27,31,1,3,2,1,NA,1,2.1,1.57,1.57,28.2
"4","SL",2021-10-01,88.2,-0.74,5.77,"Castillo, Diego",435559,650895,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Kurt Suzuki strikes out swinging.","R","R","R","SEA","LAA","S",2,"",1,2,2021,0.1,0.38,0.83,0.88,NA,NA,NA,1,9,"Top",NA,NA,NA,NA,NA,NA,3.56029162665133,-128.545003261453,-6.67258058741266,0.637847728584646,19.4916456041413,-27.0037385506506,3.32,1.51,NA,NA,NA,87.6,2343,5.3,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.24,NA,0,0,1,0,0,NA,61,4,"Slider",1,2,2,1,2,1,2,1,"Infield shift","Standard",230,0.012,-0.181,NA,NA,NA,0.181,NA,-1,1,0.174,0.826,27,37,27,38,1,3,2,2,NA,2,2.48,-0.1,-0.1,27.9
"5","SL",2021-10-01,86.1,-0.65,5.67,"Castillo, Diego",435559,650895,"","swinging_strike",NA,NA,NA,NA,14,"Kurt Suzuki strikes out swinging.","R","R","R","SEA","LAA","S",NA,"",1,1,2021,0,0.28,1.76,1.07,NA,NA,NA,1,9,"Top",NA,NA,NA,NA,NA,NA,5.61024557999449,-125.458542738166,-5.31812441870642,-0.894596470636391,19.5090826199809,-28.4770334083003,3.32,1.51,NA,NA,NA,85.1,2317,5.1,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.44,NA,NA,NA,NA,NA,NA,NA,61,3,"Slider",1,2,2,1,2,1,2,1,"Infield shift","Standard",247,0,-0.068,NA,NA,NA,0.068,NA,-1,1,0.174,0.826,27,37,27,38,1,3,2,2,NA,2,2.73,0,0,25.9
"6","SI",2021-10-01,93.4,-0.52,5.76,"Castillo, Diego",435559,650895,"","foul",NA,NA,NA,NA,6,"Kurt Suzuki strikes out swinging.","R","R","R","SEA","LAA","S",NA,"",1,0,2021,-1.59,-0.07,0.43,2.22,NA,NA,NA,1,9,"Top",NA,NA,NA,NA,NA,NA,5.84703285753026,-135.821714914589,-3.11580991470372,-20.9577757040611,33.3696998651392,-32.4911325163588,3.32,1.51,NA,NA,NA,91.3,1923,5.3,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.15,NA,NA,NA,NA,NA,NA,NA,61,2,"Sinker",1,2,2,1,2,1,2,1,"Infield shift","Standard",238,0,-0.051,NA,NA,NA,0.051,NA,-1,1,0.174,0.826,27,37,27,38,1,3,2,2,NA,2,2.71,1.59,1.59,26.8
"7","SL",2021-10-01,87.5,-0.73,5.73,"Castillo, Diego",435559,650895,"","ball",NA,NA,NA,NA,14,"Kurt Suzuki strikes out swinging.","R","R","R","SEA","LAA","B",NA,"",0,0,2021,0.22,0.4,0.93,1.54,NA,NA,NA,1,9,"Top",NA,NA,NA,NA,NA,NA,3.4920666811847,-127.45283237258,-4.77639998033364,1.72217533571356,23.9996227863278,-27.091472604266,3.08,1.51,NA,NA,NA,86.2,2221,5.2,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.29,NA,NA,NA,NA,NA,NA,NA,61,1,"Slider",1,2,2,1,2,1,2,1,"Infield shift","Standard",209,0,0.041,NA,NA,NA,-0.041,NA,-1,1,0.174,0.826,27,37,27,38,1,3,2,2,NA,2,2.55,-0.22,-0.22,26.9
"8","SL",2021-10-01,86.4,-0.93,5.74,"Castillo, Diego",594838,650895,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Phil Gosselin strikes out swinging.","R","R","R","SEA","LAA","S",2,"",3,2,2021,-0.04,0.41,0.97,2.05,NA,NA,NA,0,9,"Top",NA,NA,NA,NA,NA,NA,4.52888627960022,-125.985867941708,-3.51645679593054,-1.11613369280738,20.3072026948829,-27.3185422884982,3.41,1.56,NA,NA,NA,85.6,2267,5.2,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.27,NA,0,0,1,0,0,NA,60,7,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",234,0.016,-0.354,NA,NA,NA,0.354,NA,-1,1,0.158,0.842,27,32,27,33,1,3,2,2,NA,1,2.58,0.04,0.04,26.5
"9","SI",2021-10-01,93.5,-0.67,5.61,"Castillo, Diego",594838,650895,"","ball",NA,NA,NA,NA,11,"Phil Gosselin strikes out swinging.","R","R","R","SEA","LAA","B",NA,"",2,2,2021,-1.48,0.12,-2.23,3.44,NA,NA,NA,0,9,"Top",NA,NA,NA,NA,NA,NA,-0.736984652349218,-136.20132268358,-0.096334962699848,-18.1931645257511,32.3730937940227,-30.8860682342991,3.22,1.56,NA,NA,NA,91.2,1997,5,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.46,NA,NA,NA,NA,NA,NA,NA,60,6,"Sinker",1,2,2,1,2,1,2,1,"Standard","Standard",239,0,0.113,NA,NA,NA,-0.113,NA,-1,1,0.158,0.842,27,32,27,33,1,3,2,2,NA,1,2.5,1.48,1.48,23.3
"10","SL",2021-10-01,88,-0.51,5.83,"Castillo, Diego",594838,650895,"","ball",NA,NA,NA,NA,14,"Phil Gosselin strikes out swinging.","R","R","R","SEA","LAA","B",NA,"",1,2,2021,0.17,0.57,2.17,1.02,NA,NA,NA,0,9,"Top",NA,NA,NA,NA,NA,NA,6.0217883896234,-128.110855082998,-6.71951692930181,0.814847737957275,22.9940480150848,-24.7666189551816,3.17,1.56,NA,NA,NA,86.8,2335,5.2,632270,608596,664034,647351,572122,641487,664238,672284,571745,55.27,NA,NA,NA,NA,NA,NA,NA,60,5,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",247,0,0.048,NA,NA,NA,-0.048,NA,-1,1,0.158,0.842,27,32,27,33,1,3,2,2,NA,1,2.34,-0.17,-0.17,30.1
