"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","SL",2024-07-23,86.7,-3.08,5.52,"Bloss, Jake",671732,814005,"field_out","hit_into_play",NA,NA,NA,NA,14,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.","R","L","R","OAK","HOU","X",3,"ground_ball",1,2,2024,-0.02,0.61,1,1.3,NA,NA,NA,2,4,"Bot",160.54,160.56,NA,NA,NA,NA,9.91059435406905,-125.920609989961,-5.18968445471829,-2.23613688209707,25.6237630922592,-24.734440617516,3.74,1.78,6,75.2,-14,87.8,2408,7.1,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.43,0.063,0.058,0,1,0,0,2,33,6,"Slider",5,1,5,1,1,5,5,1,"Infield shade","Standard",184,-0.003,-0.18,69.8,7.9,0.081,0.18,88,4,4,0.908,0.908,23,23,23,24,3,2,12,1,NA,1,2.43,0.02,-0.02,39.6
"2","FF",2024-07-23,92.5,-2.82,5.58,"Bloss, Jake",671732,814005,"","ball",NA,NA,NA,NA,14,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.","R","L","R","OAK","HOU","B",NA,"",0,2,2024,-0.64,1.53,0.9,0.58,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,10.9559285398668,-133.716892169935,-10.2102024859517,-10.3629143722022,34.1742717460688,-11.4996102917828,3.67,1.76,NA,NA,NA,92.4,2424,7,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.46,NA,NA,NA,NA,NA,NA,NA,33,5,"4-Seam Fastball",5,1,5,1,1,5,5,1,"Infield shade","Standard",211,0,0.023,NA,NA,NA,-0.023,NA,4,4,0.908,0.908,23,23,23,24,3,2,12,1,NA,1,1.21,0.64,-0.64,43.6
"3","FF",2024-07-23,91.8,-2.83,5.63,"Bloss, Jake",671732,814005,"","foul",NA,NA,NA,NA,1,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.","R","L","R","OAK","HOU","S",NA,"",0,2,2024,-0.49,1.47,-0.62,3.36,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,6.75013321818254,-133.490753319043,-3.05561299084331,-7.41734056077119,30.6101165039992,-14.1899053801419,3.74,1.78,290,87.1,43,92.5,2335,6.9,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.63,NA,NA,NA,NA,NA,NA,NA,33,4,"4-Seam Fastball",5,1,5,1,1,5,5,1,"Infield shade","Standard",213,0,0,69.1,6.1,NA,0,88,4,4,0.908,0.908,23,23,23,24,3,2,12,1,NA,1,1.25,0.49,-0.49,40.6
"4","FF",2024-07-23,91.8,-2.77,5.6,"Bloss, Jake",671732,814005,"","foul",NA,NA,NA,NA,4,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.","R","L","R","OAK","HOU","S",NA,"",0,2,2024,-0.56,1.47,-0.58,2.85,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,6.81740823266899,-133.497942249321,-4.32454380220619,-8.21121518929077,29.0134151200835,-13.8218953271194,3.74,1.78,186,77.1,18,92.7,2409,6.9,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.64,NA,NA,NA,NA,NA,NA,NA,33,3,"4-Seam Fastball",5,1,5,1,1,5,5,1,"Infield shade","Standard",209,0,0,62.8,5.6,NA,0,88,4,4,0.908,0.908,23,23,23,24,3,2,12,1,NA,1,1.24,0.56,-0.56,43
"5","FF",2024-07-23,91.4,-2.82,5.62,"Bloss, Jake",671732,814005,"","called_strike",NA,NA,NA,NA,7,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.","R","L","R","OAK","HOU","S",NA,"",0,1,2024,-0.78,1.33,-0.43,2.34,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,7.76464268230097,-132.766749479211,-5.26724050752148,-10.8456141666638,28.4858280131167,-15.4444595075968,3.78,1.81,NA,NA,NA,92.1,2355,6.8,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.68,NA,NA,NA,NA,NA,NA,NA,33,2,"4-Seam Fastball",5,1,5,1,1,5,5,1,"Infield shade","Standard",211,0,-0.058,NA,NA,NA,0.058,NA,4,4,0.908,0.908,23,23,23,24,3,2,12,1,NA,1,1.4,0.78,-0.78,39.5
"6","SL",2024-07-23,87.3,-3.09,5.54,"Bloss, Jake",671732,814005,"","called_strike",NA,NA,NA,NA,1,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.","R","L","R","OAK","HOU","S",NA,"",0,0,2024,0.29,0.84,-0.37,3.42,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,6.02740346070776,-127.02791106449,-0.68336592343554,1.89292913474408,25.2956486832717,-23.1318815250681,3.76,1.8,NA,NA,NA,88.6,2423,7,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.46,NA,NA,NA,NA,NA,NA,NA,33,1,"Slider",5,1,5,1,1,5,5,1,"Infield shade","Standard",180,0,-0.041,NA,NA,NA,0.041,NA,4,4,0.908,0.908,23,23,23,24,3,2,12,1,NA,1,2.14,-0.29,0.29,39.9
"7","SL",2024-07-23,84.9,-2.87,5.5,"Bloss, Jake",680474,814005,"field_out","hit_into_play",NA,NA,NA,NA,4,"Max Schuemann flies out to left fielder Yordan Alvarez.","R","R","R","OAK","HOU","X",7,"fly_ball",2,1,2024,0.4,0.46,-0.28,2.79,NA,NA,NA,1,4,"Bot",88.77,110.03,NA,NA,NA,NA,5.32452124461612,-123.537549646078,-0.878573214880985,2.92545806658647,26.7089717215366,-27.4930613830246,3.42,1.63,241,76.3,44,85.8,2366,7.1,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.44,0.094,0.088,0,1,0,0,3,32,4,"Slider",5,1,5,1,1,5,5,1,"Standard","Standard",174,-0.005,-0.302,75.9,6.6,0.114,0.302,88,4,4,0.913,0.913,23,27,23,27,2,1,12,1,NA,1,2.72,-0.4,-0.4,44.4
"8","SL",2024-07-23,86.1,-2.94,5.44,"Bloss, Jake",680474,814005,"","called_strike",NA,NA,NA,NA,6,"Max Schuemann flies out to left fielder Yordan Alvarez.","R","R","R","OAK","HOU","S",NA,"",2,0,2024,0.1,0.68,0.36,2.41,NA,NA,NA,1,4,"Bot",NA,NA,NA,NA,NA,NA,7.74527193473539,-125.134654056603,-2.34915514479969,-0.496389988754032,25.7001463582285,-24.7487788870144,3.45,1.67,NA,NA,NA,87.2,2473,7.1,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.39,NA,NA,NA,NA,NA,NA,NA,32,3,"Slider",5,1,5,1,1,5,5,1,"Standard","Standard",175,0,-0.065,NA,NA,NA,0.065,NA,4,4,0.913,0.913,23,27,23,27,2,1,12,1,NA,1,2.41,-0.1,-0.1,39.2
"9","ST",2024-07-23,81.6,-2.96,5.51,"Bloss, Jake",680474,814005,"","ball",NA,NA,NA,NA,11,"Max Schuemann flies out to left fielder Yordan Alvarez.","R","R","R","OAK","HOU","B",NA,"",1,0,2024,0.45,0.63,-1,2.95,NA,NA,NA,1,4,"Bot",NA,NA,NA,NA,NA,NA,3.58863635675762,-118.709225773929,-0.260902419742396,3.39143425983382,27.0561648868117,-26.4616136927472,3.45,1.67,NA,NA,NA,82.1,2323,7.1,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.44,NA,NA,NA,NA,NA,NA,NA,32,2,"Sweeper",5,1,5,1,1,5,5,1,"Standard","Standard",112,0,0.072,NA,NA,NA,-0.072,NA,4,4,0.913,0.913,23,27,23,27,2,1,12,1,NA,1,2.85,-0.45,-0.45,39.8
"10","SL",2024-07-23,85.5,-3.03,5.53,"Bloss, Jake",680474,814005,"","ball",NA,NA,NA,NA,11,"Max Schuemann flies out to left fielder Yordan Alvarez.","R","R","R","OAK","HOU","B",NA,"",0,0,2024,0.2,0.58,0,4.03,NA,NA,NA,1,4,"Bot",NA,NA,NA,NA,NA,NA,6.79532514043952,-124.270837397806,1.64641524987213,0.669823242190564,26.2367011295915,-26.7316564720907,3.45,1.56,NA,NA,NA,86.3,2445,7,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.55,NA,NA,NA,NA,NA,NA,NA,32,1,"Slider",5,1,5,1,1,5,5,1,"Standard","Standard",176,0,0.039,NA,NA,NA,-0.039,NA,4,4,0.913,0.913,23,27,23,27,2,1,12,1,NA,1,2.55,-0.2,-0.2,39.7
