"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","KC",2023-09-29,86.8,-1.59,5.83,"Kelly, Joe",592626,523260,"strikeout","swinging_strike_blocked",NA,NA,NA,NA,14,"Joc Pederson strikes out swinging.","R","L","R","SF","LAD","S",2,"",0,2,2023,0.58,-1.25,1.01,0.86,NA,573262,NA,2,8,"Bot",NA,NA,NA,NA,NA,NA,4.96956468345294,-126.325909929496,-3.07633988292423,5.09949633483037,28.1872615626884,-44.9817402017639,3.51,1.67,NA,NA,NA,85.6,3163,5.7,716382,669257,518692,605141,571771,642708,444482,681546,518792,54.79,NA,0,0,1,0,0,NA,62,3,"Knuckle Curve",2,6,2,6,6,2,2,6,"Infield shade","Standard",32,-0.012,-0.185,72.4,8.1,NA,0.185,NA,-4,-4,0.025,0.025,35,31,35,31,1,3,3,2,10,2,4.3,-0.58,0.58,44.4
"2","FF",2023-09-29,99.8,-1.6,5.48,"Kelly, Joe",592626,523260,"","called_strike",NA,NA,NA,NA,12,"Joc Pederson strikes out swinging.","R","L","R","SF","LAD","S",NA,"",0,1,2023,-0.85,1.2,0.86,2.69,NA,573262,NA,2,8,"Bot",NA,NA,NA,NA,NA,NA,8.80863665547214,-144.984600817922,-5.07669020275394,-14.1496816970948,36.1183724760284,-14.2287719476077,3.44,1.78,NA,NA,NA,99.8,2255,6.5,716382,669257,518692,605141,571771,642708,444482,681546,518792,53.98,NA,NA,NA,NA,NA,NA,NA,62,2,"4-Seam Fastball",2,6,2,6,6,2,2,6,"Standard","Standard",223,0,-0.061,NA,NA,NA,0.061,NA,-4,-4,0.025,0.025,35,31,35,31,1,3,3,2,10,2,1.11,0.85,-0.85,37
"3","FF",2023-09-29,99.5,-1.56,5.33,"Kelly, Joe",592626,523260,"","called_strike",NA,NA,NA,NA,8,"Joc Pederson strikes out swinging.","R","L","R","SF","LAD","S",NA,"",0,0,2023,-0.78,0.99,0.18,2.02,NA,573262,NA,2,8,"Bot",NA,NA,NA,NA,NA,NA,6.60705761454804,-144.700515625464,-5.99865958494248,-12.5258554446632,33.553944623766,-17.0338133466541,3.44,1.74,NA,NA,NA,99.2,2197,6.2,716382,669257,518692,605141,571771,642708,444482,681546,518792,54.33,NA,NA,NA,NA,NA,NA,NA,62,1,"4-Seam Fastball",2,6,2,6,6,2,2,6,"Standard","Standard",218,0,-0.046,NA,NA,NA,0.046,NA,-4,-4,0.025,0.025,35,31,35,31,1,3,3,2,10,2,1.31,0.78,-0.78,35.5
"4","SI",2023-09-29,100.1,-1.87,5.01,"Kelly, Joe",527038,523260,"field_out","hit_into_play",NA,NA,NA,NA,5,"Wilmer Flores grounds out softly, pitcher Joe Kelly to first baseman Freddie Freeman.   Mike Yastrzemski to 2nd.","R","R","R","SF","LAD","X",1,"ground_ball",1,0,2023,-1.34,0.48,0.17,2.05,NA,NA,573262,1,8,"Bot",115.04,189.89,NA,NA,NA,NA,8.83349063140115,-145.478144318839,-3.91633747136605,-21.1150116361292,34.2090301505557,-24.683557131269,3.17,1.54,2,57.5,-54,100.6,2168,6.6,716382,669257,518692,605141,571771,642708,444482,681546,518792,53.86,0.291,0.221,0,1,0,0,1,61,2,"Sinker",2,6,2,6,6,2,2,6,"Standard","Standard",221,-0.015,-0.369,70.2,7.1,0.306,0.369,88,-4,-4,0.04,0.04,35,31,35,32,1,3,3,2,10,1,1.81,1.34,1.34,23.3
"5","SI",2023-09-29,98.8,-1.89,5,"Kelly, Joe",527038,523260,"","ball",NA,NA,NA,NA,14,"Wilmer Flores grounds out softly, pitcher Joe Kelly to first baseman Freddie Freeman.   Mike Yastrzemski to 2nd.","R","R","R","SF","LAD","B",NA,"",0,0,2023,-1.43,0.46,0.8,1.44,NA,NA,573262,1,8,"Bot",NA,NA,NA,NA,NA,NA,10.6753700828596,-143.456970649935,-5.31618914638995,-22.2400070092886,33.9097511741243,-24.6715379931724,3.22,1.63,NA,NA,NA,98.9,2143,6.5,716382,669257,518692,605141,571771,642708,444482,681546,518792,53.98,NA,NA,NA,NA,NA,NA,NA,61,1,"Sinker",2,6,2,6,6,2,2,6,"Standard","Standard",235,0,0.036,NA,NA,NA,-0.036,NA,-4,-4,0.04,0.04,35,31,35,32,1,3,3,2,10,1,1.89,1.43,1.43,24.3
"6","SI",2023-09-29,99.9,-1.78,4.93,"Kelly, Joe",573262,523260,"walk","ball",NA,NA,NA,NA,14,"Mike Yastrzemski walks.","R","L","R","SF","LAD","B",NA,"",3,2,2023,-1.41,0.53,0.78,1.43,NA,NA,NA,1,8,"Bot",NA,NA,NA,NA,NA,NA,10.4188616785314,-145.069362417657,-5.55573350451064,-22.2664706062953,31.4101132522812,-23.6236636806178,3.5,1.74,NA,NA,NA,100.7,2163,6.7,716382,669257,518692,605141,571771,642708,444482,681546,518792,53.83,NA,0.695903,0.7,1,0,0,NA,60,6,"Sinker",2,6,2,6,6,2,2,6,"Strategic","Standard",245,0.015,0.36,NA,NA,NA,-0.36,NA,-4,-4,0.025,0.025,35,32,35,33,1,3,3,2,10,2,1.75,1.41,-1.41,21.2
"7","SI",2023-09-29,98.2,-1.71,5.25,"Kelly, Joe",573262,523260,"","swinging_strike",NA,NA,NA,NA,1,"Mike Yastrzemski walks.","R","L","R","SF","LAD","S",NA,"",3,1,2023,-1.39,0.54,-0.58,3.16,NA,NA,NA,1,8,"Bot",NA,NA,NA,NA,NA,NA,6.29212854819069,-142.972635901729,-1.44891401075692,-20.4944081132499,32.7679627791082,-24.6633604754809,3.5,1.67,NA,NA,NA,98.5,2112,6.4,716382,669257,518692,605141,571771,642708,444482,681546,518792,54.09,NA,NA,NA,NA,NA,NA,NA,60,5,"Sinker",2,6,2,6,6,2,2,6,"Infield shade","Standard",237,0,-0.104,67.1,6.5,NA,0.104,NA,-4,-4,0.025,0.025,35,32,35,33,1,3,3,2,10,2,1.82,1.39,-1.39,27.4
"8","SI",2023-09-29,97.9,-1.69,5.24,"Kelly, Joe",573262,523260,"","called_strike",NA,NA,NA,NA,1,"Mike Yastrzemski walks.","R","L","R","SF","LAD","S",NA,"",3,0,2023,-1.29,0.75,-0.52,2.82,NA,NA,NA,1,8,"Bot",NA,NA,NA,NA,NA,NA,6.14057198060814,-142.567921193023,-2.82298421262328,-18.9480364468791,30.8011805869025,-21.4634305148977,3.29,1.56,NA,NA,NA,98.5,2095,6.4,716382,669257,518692,605141,571771,642708,444482,681546,518792,54.08,NA,NA,NA,NA,NA,NA,NA,60,4,"Sinker",2,6,2,6,6,2,2,6,"Infield shade","Standard",225,0,-0.083,NA,NA,NA,0.083,NA,-4,-4,0.025,0.025,35,32,35,33,1,3,3,2,10,2,1.61,1.29,-1.29,28
"9","SI",2023-09-29,99.4,-1.91,5.04,"Kelly, Joe",573262,523260,"","ball",NA,NA,NA,NA,13,"Mike Yastrzemski walks.","R","L","R","SF","LAD","B",NA,"",2,0,2023,-1.36,0.72,-0.87,2.25,NA,NA,NA,1,8,"Bot",NA,NA,NA,NA,NA,NA,6.05976467246529,-144.605907888572,-3.91408692287953,-20.4921241117146,33.6877956482512,-21.3752505437604,3.54,1.81,NA,NA,NA,99.8,2223,6.5,716382,669257,518692,605141,571771,642708,444482,681546,518792,54,NA,NA,NA,NA,NA,NA,NA,60,3,"Sinker",2,6,2,6,6,2,2,6,"Infield shade","Standard",236,0,0.142,NA,NA,NA,-0.142,NA,-4,-4,0.025,0.025,35,32,35,33,1,3,3,2,10,2,1.59,1.36,-1.36,25.7
"10","FF",2023-09-29,99.3,-1.76,5.09,"Kelly, Joe",573262,523260,"","ball",NA,NA,NA,NA,14,"Mike Yastrzemski walks.","R","L","R","SF","LAD","B",NA,"",1,0,2023,-1.43,0.77,1.23,0.12,NA,NA,NA,1,8,"Bot",NA,NA,NA,NA,NA,NA,11.4573765463323,-143.976562307678,-9.99409678751506,-22.4497856102142,31.0386689951515,-19.2986101504326,3.54,1.74,NA,NA,NA,99.1,2237,6.2,716382,669257,518692,605141,571771,642708,444482,681546,518792,54.28,NA,NA,NA,NA,NA,NA,NA,60,2,"4-Seam Fastball",2,6,2,6,6,2,2,6,"Infield shade","Standard",331,0,0.066,NA,NA,NA,-0.066,NA,-4,-4,0.025,0.025,35,32,35,33,1,3,3,2,10,2,1.55,1.43,-1.43,24.6
