"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","SI",2023-10-01,92.3,1.99,5.35,"King, John",663886,667463,"field_out","hit_into_play",NA,NA,NA,NA,14,"Tyler Stephenson grounds out, pitcher John King to first baseman Luken Baker.","R","R","L","STL","CIN","X",1,"ground_ball",2,0,2023,1.48,0.2,0.85,2.06,NA,NA,NA,2,8,"Top",130.45,180.4,NA,NA,NA,NA,-6.07900997534508,-134.336831449313,-2.98619795378734,19.2269792793128,29.7039163666111,-29.3010194283336,3.22,1.54,8,81.8,-14,91.8,2118,6,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.48,0.094,0.08,0,1,0,0,2,62,3,"Sinker",4,3,3,4,3,4,3,4,"Standard","Standard",121,0.025,-0.374,69.6,7.2,0.119,0.374,88,1,-1,0.846,0.154,28,26,29,27,1,2,1,1,NA,NA,2.48,1.48,-1.48,24.3
"2","SI",2023-10-01,92.4,1.95,5.29,"King, John",663886,667463,"","ball",NA,NA,NA,NA,13,"Tyler Stephenson grounds out, pitcher John King to first baseman Luken Baker.","R","R","L","STL","CIN","B",NA,"",1,0,2023,1.33,0.09,-0.88,0.72,NA,NA,NA,2,8,"Top",NA,NA,NA,NA,NA,NA,-10.0585592501451,-134.182782566873,-6.02636599829789,18.1926247462755,27.6488249697959,-29.9448219034456,3.24,1.59,NA,NA,NA,92.1,2144,6.1,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.38,NA,NA,NA,NA,NA,NA,NA,62,2,"Sinker",4,3,3,4,3,4,3,4,"Standard","Standard",116,0,0.056,NA,NA,NA,-0.056,NA,1,-1,0.846,0.154,28,26,29,27,1,2,1,1,NA,NA,2.58,1.33,-1.33,25.2
"3","SI",2023-10-01,92.8,1.84,5.38,"King, John",663886,667463,"","ball",NA,NA,NA,NA,14,"Tyler Stephenson grounds out, pitcher John King to first baseman Luken Baker.","R","R","L","STL","CIN","B",NA,"",0,0,2023,1.35,0.23,0.3,0.77,NA,NA,NA,2,8,"Top",NA,NA,NA,NA,NA,NA,-6.85221337231992,-134.857111067841,-6.4791325183715,17.9548965854011,28.6799158010078,-28.1338890015769,3.34,1.64,NA,NA,NA,92.3,2268,6,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.47,NA,NA,NA,NA,NA,NA,NA,62,1,"Sinker",4,3,3,4,3,4,3,4,"Standard","Standard",120,0,0.043,NA,NA,NA,-0.043,NA,1,-1,0.846,0.154,28,26,29,27,1,2,1,1,NA,NA,2.42,1.35,-1.35,23
"4","CH",2023-10-01,84.9,2.06,5.19,"King, John",682829,667463,"strikeout","swinging_strike",NA,NA,NA,NA,9,"Elly De La Cruz strikes out swinging.","R","R","L","STL","CIN","S",2,"",3,2,2023,1.35,-0.08,0.31,1.76,NA,NA,NA,1,8,"Top",NA,NA,NA,NA,NA,NA,-6.79962623459069,-123.498006966726,-1.58831781936215,15.1882722112817,22.2925666700246,-32.8910507888541,3.74,1.75,NA,NA,NA,85.1,1514,6.2,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.26,NA,0,0,1,0,0,NA,61,6,"Changeup",4,3,3,4,3,4,3,4,"Standard","Standard",105,0.039,-0.328,78.4,7.3,NA,0.328,NA,1,-1,0.807,0.193,28,21,29,21,1,3,1,1,NA,NA,3.22,1.35,-1.35,18.2
"5","CH",2023-10-01,84.4,2,5.13,"King, John",682829,667463,"","ball",NA,NA,NA,NA,14,"Elly De La Cruz strikes out swinging.","R","R","L","STL","CIN","B",NA,"",2,2,2023,1.46,-0.2,0.37,0.76,NA,NA,NA,1,8,"Top",NA,NA,NA,NA,NA,NA,-6.65473830256775,-122.840864812344,-3.43165740321472,16.1410502484312,23.1167885930689,-33.7432397730481,3.52,1.72,NA,NA,NA,84.1,1488,5.9,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.55,NA,NA,NA,NA,NA,NA,NA,61,5,"Changeup",4,3,3,4,3,4,3,4,"Standard","Standard",105,0,0.094,NA,NA,NA,-0.094,NA,1,-1,0.807,0.193,28,21,29,21,1,3,1,1,NA,NA,3.38,1.46,-1.46,16.3
"6","SI",2023-10-01,93.5,1.84,5.32,"King, John",682829,667463,"","ball",NA,NA,NA,NA,13,"Elly De La Cruz strikes out swinging.","R","R","L","STL","CIN","B",NA,"",1,2,2023,1.28,0.05,-0.51,0.9,NA,NA,NA,1,8,"Top",NA,NA,NA,NA,NA,NA,-8.81850463992331,-135.812715694687,-5.73985021380318,17.7749387905066,27.979788869214,-30.4660423309614,3.57,1.77,NA,NA,NA,93.1,2027,6,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.5,NA,NA,NA,NA,NA,NA,NA,61,4,"Sinker",4,3,3,4,3,4,3,4,"Standard","Standard",117,0,0.045,NA,NA,NA,-0.045,NA,1,-1,0.807,0.193,28,21,29,21,1,3,1,1,NA,NA,2.55,1.28,-1.28,23
"7","CH",2023-10-01,83.4,2.07,5.16,"King, John",682829,667463,"","foul",NA,NA,NA,NA,14,"Elly De La Cruz strikes out swinging.","R","R","L","STL","CIN","S",NA,"",1,1,2023,1.26,-0.03,1.23,2.01,NA,NA,NA,1,8,"Top",NA,NA,NA,NA,NA,NA,-4.36808089211597,-121.506354158515,-0.835750633093982,13.3595547719399,20.8753872868117,-32.5681894669817,3.74,1.75,1,NA,-58,83.2,1551,5.8,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.7,NA,NA,NA,NA,NA,NA,NA,61,3,"Changeup",4,3,3,4,3,4,3,4,"Standard","Standard",104,0,-0.068,71.6,8.2,NA,0.068,NA,1,-1,0.807,0.193,28,21,29,21,1,3,1,1,NA,NA,3.27,1.26,-1.26,15.7
"8","CH",2023-10-01,84.6,2.12,5.14,"King, John",682829,667463,"","ball",NA,NA,NA,NA,14,"Elly De La Cruz strikes out swinging.","R","R","L","STL","CIN","B",NA,"",0,1,2023,1.22,0.1,0.92,1.62,NA,NA,NA,1,8,"Top",NA,NA,NA,NA,NA,NA,-5.20270451287368,-123.116104958719,-2.09536096663351,13.4320105488665,23.1266110972258,-30.953864572482,3.59,1.75,NA,NA,NA,84.6,1487,6.2,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.33,NA,NA,NA,NA,NA,NA,NA,61,2,"Changeup",4,3,3,4,3,4,3,4,"Standard","Standard",103,0,0.03,NA,NA,NA,-0.03,NA,1,-1,0.807,0.193,28,21,29,21,1,3,1,1,NA,NA,3.07,1.22,-1.22,15.5
"9","CH",2023-10-01,83.8,1.91,5.29,"King, John",682829,667463,"","swinging_strike",NA,NA,NA,NA,14,"Elly De La Cruz strikes out swinging.","R","R","L","STL","CIN","S",NA,"",0,0,2023,1.28,0.23,0.88,2.03,NA,NA,NA,1,8,"Top",NA,NA,NA,NA,NA,NA,-4.86928186568804,-121.962715014809,-1.60415898999421,13.7607715609702,23.1997111397628,-29.7436336566311,3.74,1.75,NA,NA,NA,83.3,1535,5.9,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.63,NA,NA,NA,NA,NA,NA,NA,61,1,"Changeup",4,3,3,4,3,4,3,4,"Standard","Standard",109,0,-0.041,78.5,8.1,NA,0.041,NA,1,-1,0.807,0.193,28,21,29,21,1,3,1,1,NA,NA,3,1.28,-1.28,18
"10","SL",2023-10-01,84.8,1.85,5.32,"King, John",605361,667463,"strikeout","swinging_strike_blocked",NA,NA,NA,NA,13,"Nick Martini strikes out swinging.","R","L","L","STL","CIN","S",2,"",0,2,2023,0.11,-0.07,-0.35,0.72,NA,NA,NA,0,8,"Top",NA,NA,NA,NA,NA,NA,-5.3446252294643,-123.521935067107,-4.34858503709789,2.07201168358689,22.5219890250928,-32.2773345012195,3.38,1.6,NA,NA,NA,85,2479,6.2,716353,668800,663609,676761,665877,691026,680700,669242,691023,54.33,NA,0,0,1,0,0,NA,60,3,"Slider",4,3,3,4,3,4,3,4,"Infield shade","Standard",64,0.054,-0.169,65.6,8.5,NA,0.169,NA,1,-1,0.753,0.247,28,33,29,33,1,3,1,1,NA,NA,3.21,0.11,0.11,27.5
