"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","SI",2024-09-28,97.3,-2.18,6.29,"García, Luis",642350,472610,"field_out","hit_into_play",NA,NA,NA,NA,11,"Jose Siri grounds out softly to first baseman Triston Casas.","R","R","R","BOS","TB","X",3,"ground_ball",1,0,2024,-1.42,0.75,-1.4,2.69,691406,NA,666624,2,7,"Top",135.35,194.49,NA,NA,NA,NA,5.40421245559148,-141.496731137101,-5.82663458655271,-20.2976725980745,35.4913376693686,-20.8674387058168,3.51,1.64,33,26.8,18,97.5,2220,6.7,746902,643376,671213,687093,663853,596115,641933,680776,677800,53.84,0.271,0.295,0,1,0,0,1,57,2,"Sinker",2,7,7,2,7,2,7,2,"Standard","Standard",212,0.005,-0.317,67.2,6.5,0.325,0.317,88,-5,5,0.028,0.972,37,28,37,29,1,3,1,2,NA,NA,1.68,1.42,1.42,48
"2","SI",2024-09-28,97.8,-2.36,6.32,"García, Luis",642350,472610,"","ball",NA,NA,NA,NA,11,"Jose Siri grounds out softly to first baseman Triston Casas.","R","R","R","BOS","TB","B",NA,"",0,0,2024,-1.47,0.93,-1.66,3.32,691406,NA,666624,2,7,"Top",NA,NA,NA,NA,NA,NA,5.32331668728138,-142.243608687762,-4.69607252780186,-21.217889634697,35.2688912005089,-18.7368669590381,3.5,1.67,NA,NA,NA,98,2178,6.6,746902,643376,671213,687093,663853,596115,641933,680776,677800,53.87,NA,NA,NA,NA,NA,NA,NA,57,1,"Sinker",2,7,7,2,7,2,7,2,"Standard","Standard",209,0,0.03,NA,NA,NA,-0.03,NA,-5,5,0.028,0.972,37,28,37,29,1,3,1,2,NA,NA,1.48,1.47,1.47,47.7
"3","FS",2024-09-28,90.6,-2.28,6.24,"García, Luis",666139,472610,"strikeout","swinging_strike",NA,NA,NA,NA,13,"Josh Lowe strikes out swinging.","R","L","R","BOS","TB","S",2,"",1,2,2024,-1.38,0.74,-1.62,1.61,691406,NA,666624,1,7,"Top",NA,NA,NA,NA,NA,NA,4.63401361281218,-131.793760167395,-7.27475699980238,-17.0506687332647,28.3003941675172,-22.1856329841196,3.58,1.72,NA,NA,NA,91.4,1529,6.8,746902,643376,671213,687093,663853,596115,641933,680776,677800,53.7,NA,0,0,1,0,0,NA,56,4,"Split-Finger",2,7,7,2,7,2,7,2,"Standard","Standard",216,0.008,-0.253,59.1,7,NA,0.253,NA,-5,5,0.02,0.98,37,26,37,26,1,3,1,1,NA,1,2.04,1.38,-1.38,52
"4","SI",2024-09-28,97.1,-2.36,6.27,"García, Luis",666139,472610,"","foul",NA,NA,NA,NA,5,"Josh Lowe strikes out swinging.","R","L","R","BOS","TB","S",NA,"",1,1,2024,-1.4,0.91,0.02,2.36,691406,NA,666624,1,7,"Top",NA,NA,NA,NA,NA,NA,9.63695372344191,-140.834110629263,-6.9695658218931,-20.9033115028382,34.8587506438175,-18.5948391154569,3.58,1.72,257,83.7,43,97.3,2203,6.8,746902,643376,671213,687093,663853,596115,641933,680776,677800,53.72,NA,NA,NA,NA,NA,NA,NA,56,3,"Sinker",2,7,7,2,7,2,7,2,"Standard","Standard",210,0,-0.071,73.6,6.4,NA,0.071,88,-5,5,0.02,0.98,37,26,37,26,1,3,1,1,NA,1,1.54,1.4,-1.4,46.3
"5","SI",2024-09-28,97.6,-2.37,6.36,"García, Luis",666139,472610,"","swinging_strike",NA,NA,NA,NA,2,"Josh Lowe strikes out swinging.","R","L","R","BOS","TB","S",NA,"",1,0,2024,-1.26,1.08,-0.24,3.16,691406,NA,666624,1,7,"Top",NA,NA,NA,NA,NA,NA,8.66606780313157,-141.838738891067,-5.60559597306032,-19.0427904857092,34.0186727224477,-16.4246865191237,3.58,1.72,NA,NA,NA,97.8,2279,6.6,746902,643376,671213,687093,663853,596115,641933,680776,677800,53.93,NA,NA,NA,NA,NA,NA,NA,56,2,"Sinker",2,7,7,2,7,2,7,2,"Standard","Standard",208,0,-0.062,70.3,5.5,NA,0.062,NA,-5,5,0.02,0.98,37,26,37,26,1,3,1,1,NA,1,1.32,1.26,-1.26,46.8
"6","FS",2024-09-28,87.9,-2.38,6.35,"García, Luis",666139,472610,"","ball",NA,NA,NA,NA,13,"Josh Lowe strikes out swinging.","R","L","R","BOS","TB","B",NA,"",0,0,2024,-1.48,0.79,-1.51,2.59,691406,NA,666624,1,7,"Top",NA,NA,NA,NA,NA,NA,5.20286281696551,-127.8745875541,-4.64377729164452,-17.3411567199331,27.9220595895337,-22.7070599279614,3.68,1.81,NA,NA,NA,88,1488,6.5,746902,643376,671213,687093,663853,596115,641933,680776,677800,54,NA,NA,NA,NA,NA,NA,NA,56,1,"Split-Finger",2,7,7,2,7,2,7,2,"Standard","Standard",219,0,0.024,NA,NA,NA,-0.024,NA,-5,5,0.02,0.98,37,26,37,26,1,3,1,1,NA,1,2.17,1.48,-1.48,52.8
"7","SI",2024-09-28,97.8,-2.19,6.31,"García, Luis",666624,472610,"single","hit_into_play",NA,NA,NA,NA,7,"Christopher Morel singles on a ground ball to second baseman Vaughn Grissom, deflected by shortstop Trevor Story. Brandon Lowe scores. Junior Caminero to 3rd.","R","R","R","BOS","TB","X",6,"ground_ball",1,0,2024,-1.35,1.14,-0.66,2.2,664040,691406,NA,1,7,"Top",117.54,142.46,NA,NA,NA,NA,7.2851606335083,-142.082094239837,-8.21913461439298,-19.9824341748156,32.6967039958974,-15.0236653139518,3.55,1.61,11,84.1,-10,98.3,2260,6.6,746902,643376,671213,687093,663853,596115,641933,680776,677800,53.86,0.103,0.099,0.9,1,1,0,2,55,2,"Sinker",2,6,6,2,7,2,7,2,"Strategic","Standard",205,-0.015,0.497,65.8,7.3,0.126,-0.497,88,-4,4,0.035,0.965,37,25,37,25,1,3,1,1,NA,1,1.25,1.35,1.35,48.3
"8","SL",2024-09-28,84.4,-2.48,6.07,"García, Luis",666624,472610,"","blocked_ball",NA,NA,NA,NA,14,"Christopher Morel singles on a ground ball to second baseman Vaughn Grissom, deflected by shortstop Trevor Story. Brandon Lowe scores. Junior Caminero to 3rd.","R","R","R","BOS","TB","B",NA,"",0,0,2024,0.69,-0.22,1.99,-1,664040,691406,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,9.07883164399384,-122.312151830196,-9.61235918310866,4.92140927911483,26.8404553034754,-32.3867411965319,3.62,1.71,NA,NA,NA,84.6,2275,6.9,746902,643376,671213,687093,663853,596115,641933,680776,677800,53.62,NA,NA,NA,NA,NA,NA,NA,55,1,"Slider",2,6,6,2,6,2,6,2,"Strategic","Standard",51,0,0.025,NA,NA,NA,-0.025,NA,-4,4,0.035,0.965,37,25,37,25,1,3,1,1,NA,1,3.47,-0.69,-0.69,46.7
"9","FS",2024-09-28,89,-2.5,6.29,"García, Luis",666018,472610,"field_out","hit_into_play",NA,NA,NA,NA,13,"Jonathan Aranda grounds out, pitcher Luis García to first baseman Triston Casas. Brandon Lowe to 3rd. Junior Caminero to 2nd.","R","L","R","BOS","TB","X",1,"ground_ball",1,1,2024,-1.04,0.42,-0.93,1.76,NA,664040,691406,0,7,"Top",133.77,176.42,NA,NA,NA,NA,6.05761703054333,-129.382681648502,-6.00804489180832,-12.9549841072034,25.965377346561,-26.3664754286831,3.22,1.49,2,68.7,-44,89.5,1428,6.6,746902,643376,671213,687093,663853,596115,641933,680776,677800,53.91,0.209,0.171,0,1,0,0,2,54,3,"Split-Finger",2,6,6,2,6,2,6,2,"Standard","Standard",222,-0.001,-0.306,68.6,7.8,0.227,0.306,88,-4,4,0.036,0.964,37,26,37,26,1,3,1,1,NA,1,2.45,1.04,-1.04,52.2
"10","FS",2024-09-28,88.2,-2.5,6.36,"García, Luis",666018,472610,"","foul",NA,NA,NA,NA,13,"Jonathan Aranda grounds out, pitcher Luis García to first baseman Triston Casas. Brandon Lowe to 3rd. Junior Caminero to 2nd.","R","L","R","BOS","TB","S",NA,"",1,0,2024,-0.69,0.42,-0.04,1.28,NA,664040,691406,0,7,"Top",NA,NA,NA,NA,NA,NA,7.42640422958723,-128.223035086631,-7.17255911764941,-9.0550149176633,24.5205336352602,-26.3309193814599,3.22,1.49,2,75.6,-32,88.8,1447,6.5,746902,643376,671213,687093,663853,596115,641933,680776,677800,53.98,NA,NA,NA,NA,NA,NA,NA,54,2,"Split-Finger",2,6,6,2,6,2,6,2,"Standard","Standard",215,0,-0.055,69.8,7.2,NA,0.055,88,-4,4,0.036,0.964,37,26,37,26,1,3,1,1,NA,1,2.5,0.69,-0.69,53.1
