"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","FF",2022-10-05,95.3,1.66,5.61,"Bañuelos, Manny",425877,544365,"field_out","hit_into_play",NA,NA,NA,NA,2,"Yadier Molina lines out to second baseman Tucupita Marcano.","R","R","L","PIT","STL","X",4,"line_drive",2,2,2022,0.71,1.39,-0.06,2.96,NA,NA,NA,1,7,"Top",142.7,141.73,NA,NA,NA,NA,-6.17435819135829,-138.574152683762,-4.40886752637464,10.6464759555991,34.212128173979,-13.508930997,3.43,1.6,155,65.7,18,95.3,2366,6.6,662304,641511,660636,672779,666801,621028,609280,678225,669261,53.91,0.537,0.483,0,1,0,0,4,56,7,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Strategic",141,0.023,-0.212,NA,NA,0.538,0.212,88,2,-2,0.857,0.143,31,39,31,40,1,0,2,3,NA,2,1.14,0.71,-0.71,39.1
"2","CU",2022-10-05,82.8,1.75,5.44,"Bañuelos, Manny",425877,544365,"","foul",NA,NA,NA,NA,7,"Yadier Molina lines out to second baseman Tucupita Marcano.","R","R","L","PIT","STL","S",NA,"",2,2,2022,-0.94,0.05,-0.77,2.06,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,-3.9229826174657,-120.562628282521,-1.32835528654819,-8.32813229525723,24.6597202563676,-31.602810828217,3.43,1.6,310,98.3,24,82.7,2665,6.3,662304,641511,660636,672779,666801,621028,609280,678225,669261,54.19,NA,NA,NA,NA,NA,NA,NA,56,6,"Curveball",5,3,3,5,3,5,3,5,"Standard","Strategic",281,0,0,NA,NA,NA,0,98.3,2,-2,0.857,0.143,31,39,31,40,1,0,2,3,NA,2,3.28,-0.94,0.94,33.4
"3","FF",2022-10-05,94.9,1.99,5.47,"Bañuelos, Manny",425877,544365,"","foul",NA,NA,NA,NA,5,"Yadier Molina lines out to second baseman Tucupita Marcano.","R","R","L","PIT","STL","S",NA,"",2,2,2022,1.06,1.29,0.06,2.76,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,-7.43672442471317,-138.000933684603,-4.34513386620394,15.1396579437535,30.2509270021022,-14.8332174318891,3.43,1.6,186,69,50,95.3,2237,6.5,662304,641511,660636,672779,666801,621028,609280,678225,669261,53.95,NA,NA,NA,NA,NA,NA,NA,56,5,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Strategic",132,0,0,NA,NA,NA,0,88,2,-2,0.857,0.143,31,39,31,40,1,0,2,3,NA,2,1.24,1.06,-1.06,34.2
"4","SI",2022-10-05,93.8,1.97,5.45,"Bañuelos, Manny",425877,544365,"","swinging_strike",NA,NA,NA,NA,12,"Yadier Molina lines out to second baseman Tucupita Marcano.","R","R","L","PIT","STL","S",NA,"",2,1,2022,1.58,0.92,1.2,3.1,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,-5.48147411537794,-136.519321679652,-2.37305680172484,20.9203790117837,31.0397068168211,-20.3627227666444,3.43,1.6,NA,NA,NA,93.7,2114,6.3,662304,641511,660636,672779,666801,621028,609280,678225,669261,54.19,NA,NA,NA,NA,NA,NA,NA,56,4,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",130,0,-0.073,NA,NA,NA,0.073,NA,2,-2,0.857,0.143,31,39,31,40,1,0,2,3,NA,2,1.68,1.58,-1.58,30.1
"5","FF",2022-10-05,94,1.81,5.55,"Bañuelos, Manny",425877,544365,"","ball",NA,NA,NA,NA,12,"Yadier Molina lines out to second baseman Tucupita Marcano.","R","R","L","PIT","STL","B",NA,"",1,1,2022,1.13,1.44,1.36,3.68,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,-3.66501374159613,-136.850773073951,-2.31760139569591,14.9490140058763,30.9963581326971,-13.8075944709714,3.43,1.56,NA,NA,NA,94.2,2258,6.4,662304,641511,660636,672779,666801,621028,609280,678225,669261,54.09,NA,NA,NA,NA,NA,NA,NA,56,3,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard",137,0,0.052,NA,NA,NA,-0.052,NA,2,-2,0.857,0.143,31,39,31,40,1,0,2,3,NA,2,1.14,1.13,-1.13,34.7
"6","CU",2022-10-05,81.6,1.94,5.47,"Bañuelos, Manny",425877,544365,"","ball",NA,NA,NA,NA,14,"Yadier Molina lines out to second baseman Tucupita Marcano.","R","R","L","PIT","STL","B",NA,"",0,1,2022,-0.62,0.09,0.36,0.63,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,-2.35105303883366,-118.849150238317,-4.4963571486757,-5.43971898725462,22.625049071767,-30.6760165481273,3.43,1.58,NA,NA,NA,81.5,2578,6.2,662304,641511,660636,672779,666801,621028,609280,678225,669261,54.32,NA,NA,NA,NA,NA,NA,NA,56,2,"Curveball",5,3,3,5,3,5,3,5,"Standard","Standard",295,0,0.025,NA,NA,NA,-0.025,NA,2,-2,0.857,0.143,31,39,31,40,1,0,2,3,NA,2,3.33,-0.62,0.62,32.8
"7","FF",2022-10-05,94.3,1.91,5.55,"Bañuelos, Manny",425877,544365,"","swinging_strike",NA,NA,NA,NA,6,"Yadier Molina lines out to second baseman Tucupita Marcano.","R","R","L","PIT","STL","S",NA,"",0,0,2022,0.95,1.33,0.33,2.41,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,-6.23310250153334,-137.079624960368,-5.39424135145401,13.4086413016427,31.0862570491403,-14.4429186127037,3.43,1.6,NA,NA,NA,94.4,2265,6.5,662304,641511,660636,672779,666801,621028,609280,678225,669261,54.02,NA,NA,NA,NA,NA,NA,NA,56,1,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard",135,0,-0.038,NA,NA,NA,0.038,NA,2,-2,0.857,0.143,31,39,31,40,1,0,2,3,NA,2,1.25,0.95,-0.95,33.6
"8","FF",2022-10-05,93.6,1.7,5.48,"Bañuelos, Manny",657557,544365,"strikeout","swinging_strike",NA,NA,NA,NA,12,"Paul DeJong strikes out swinging.","R","R","L","PIT","STL","S",2,"",2,2,2022,1.05,1.32,1.33,2.59,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,NA,NA,-3.30532153038513,-136.255793711977,-4.63976591740262,13.8100461360711,30.5331857235839,-14.9435295488851,3.32,1.52,NA,NA,NA,93.9,2222,6.5,662304,641511,660636,672779,666801,621028,609280,678225,669261,54.03,NA,0,0,1,0,0,NA,55,5,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard",132,0.033,-0.218,NA,NA,NA,0.218,NA,2,-2,0.824,0.176,31,28,31,29,1,2,2,1,NA,2,1.29,1.05,-1.05,33.1
"9","FF",2022-10-05,93.4,1.79,5.65,"Bañuelos, Manny",657557,544365,"","ball",NA,NA,NA,NA,12,"Paul DeJong strikes out swinging.","R","R","L","PIT","STL","B",NA,"",1,2,2022,1.01,1.13,1.83,3.29,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,NA,NA,-2.12204834473629,-136.090857465921,-2.82467593026687,13.0704615074067,29.3387245937816,-17.7493961620934,3.52,1.68,NA,NA,NA,93.7,2116,6.4,662304,641511,660636,672779,666801,621028,609280,678225,669261,54.14,NA,NA,NA,NA,NA,NA,NA,55,4,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard",136,0,0.042,NA,NA,NA,-0.042,NA,2,-2,0.824,0.176,31,28,31,29,1,2,2,1,NA,2,1.48,1.01,-1.01,36.5
"10","CU",2022-10-05,84.1,1.73,5.51,"Bañuelos, Manny",657557,544365,"","foul",NA,NA,NA,NA,13,"Paul DeJong strikes out swinging.","R","R","L","PIT","STL","S",NA,"",1,1,2022,-0.98,0.07,-0.44,1.27,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,NA,NA,-3.11270706412776,-122.416236869485,-3.5877529453672,-9.17291147437664,24.710416709739,-30.9382498270521,3.32,1.52,1,55.6,-51,84.2,2572,6.4,662304,641511,660636,672779,666801,621028,609280,678225,669261,54.12,NA,NA,NA,NA,NA,NA,NA,55,3,"Curveball",5,3,3,5,3,5,3,5,"Standard","Standard",284,0,-0.06,NA,NA,NA,0.06,88,2,-2,0.824,0.176,31,28,31,29,1,2,2,1,NA,2,3.15,-0.98,0.98,35.1
