"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","FC",2024-09-29,86.2,1.19,5.57,"Pérez, Martín",682998,527048,"walk","ball",NA,NA,NA,NA,7,"Corbin Carroll walks.","R","L","L","AZ","SD","B",NA,"",3,1,2024,-0.09,0.88,-0.8,1.55,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,-4.51583080516711,-125.414231845947,-5.1480984063533,-0.113095421906344,24.0198814141005,-22.0016568241359,3.06,1.47,NA,NA,NA,86.2,2305,6.2,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.34,NA,0.689131,0.7,1,0,0,NA,35,5,"Cutter",6,1,6,1,1,6,6,1,"Standard","Standard",155,0.003,0.178,NA,NA,NA,-0.178,NA,5,5,0.945,0.945,33,23,33,24,3,2,8,1,NA,NA,2.17,-0.09,-0.09,49.2
"2","SI",2024-09-29,89.8,1.15,5.58,"Pérez, Martín",682998,527048,"","ball",NA,NA,NA,NA,12,"Corbin Carroll walks.","R","L","L","AZ","SD","B",NA,"",2,1,2024,1.36,0.89,1.46,2.77,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,-2.10664525995414,-130.862283865933,-2.86135202448723,16.056459883651,27.4397717177524,-21.5073011165404,3,1.45,NA,NA,NA,89.5,2063,6,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.52,NA,NA,NA,NA,NA,NA,NA,35,4,"Sinker",6,1,6,1,1,6,6,1,"Standard","Standard",136,0,0.112,NA,NA,NA,-0.112,NA,5,5,0.945,0.945,33,23,33,24,3,2,8,1,NA,NA,1.92,1.36,1.36,50.8
"3","CH",2024-09-29,83.1,1.29,5.57,"Pérez, Martín",682998,527048,"","ball",NA,NA,NA,NA,12,"Corbin Carroll walks.","R","L","L","AZ","SD","B",NA,"",1,1,2024,1.13,0.98,1.17,2.93,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,-2.47320493977582,-121.027859180902,-1.51932129591511,11.5516787882932,23.5073241367144,-22.4274320925996,2.97,1.42,NA,NA,NA,83,1750,6.2,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.34,NA,NA,NA,NA,NA,NA,NA,35,3,"Changeup",6,1,6,1,1,6,6,1,"Standard","Standard",129,0,0.058,NA,NA,NA,-0.058,NA,5,5,0.945,0.945,33,23,33,24,3,2,8,1,NA,NA,2.31,1.13,1.13,46.7
"4","FC",2024-09-29,86.8,1.19,5.62,"Pérez, Martín",682998,527048,"","foul",NA,NA,NA,NA,1,"Corbin Carroll walks.","R","L","L","AZ","SD","S",NA,"",1,0,2024,-0.23,0.7,-0.54,2.87,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,-3.64426969514428,-126.478486907666,-1.86244631220498,-1.85332811200698,23.6576251732382,-24.5068550937488,3.13,1.49,223,73.9,28,86.7,2268,6,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.51,NA,NA,NA,NA,NA,NA,NA,35,2,"Cutter",6,1,6,1,1,6,6,1,"Standard","Standard",158,0,-0.051,74,6.6,NA,0.051,88,5,5,0.945,0.945,33,23,33,24,3,2,8,1,NA,NA,2.3,-0.23,-0.23,45.8
"5","FC",2024-09-29,86.7,1.15,5.54,"Pérez, Martín",682998,527048,"","ball",NA,NA,NA,NA,11,"Corbin Carroll walks.","R","L","L","AZ","SD","B",NA,"",0,0,2024,-0.18,0.64,-1,2.46,NA,NA,NA,2,4,"Bot",NA,NA,NA,NA,NA,NA,-4.74087364977463,-126.292151728809,-2.50776129565614,-1.04492999646612,24.1992489341495,-24.9966461308614,3.03,1.48,NA,NA,NA,86.6,2251,6,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.47,NA,NA,NA,NA,NA,NA,NA,35,1,"Cutter",6,1,6,1,1,6,6,1,"Standard","Standard",160,0,0.04,NA,NA,NA,-0.04,NA,5,5,0.945,0.945,33,23,33,24,3,2,8,1,NA,NA,2.37,-0.18,-0.18,52.1
"6","FF",2024-09-29,91.1,0.87,5.69,"Pérez, Martín",606466,527048,"home_run","hit_into_play",NA,NA,NA,NA,2,"Ketel Marte homers (36) on a fly ball to left center field. Gabriel Moreno scores.","R","R","L","AZ","SD","X",NA,"fly_ball",0,0,2024,0.8,1.38,-0.19,3.1,672515,NA,NA,2,4,"Bot",36.81,42.18,NA,NA,NA,NA,-4.38862534851147,-132.522331260025,-3.55531511109708,10.4135742655812,29.1217356328319,-15.3730656317499,3.57,1.7,443,112.9,30,90.6,2204,6.1,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.41,0.986,2,2,1,0,3,6,34,1,"4-Seam Fastball",4,1,4,1,1,6,6,1,"Standard","Standard",137,0.081,1.452,75.4,7.5,3.942,-1.452,112.9,3,3,0.864,0.864,33,30,33,31,3,2,8,1,NA,NA,1.37,0.8,-0.8,49.4
"7","FC",2024-09-29,87.7,1.13,5.65,"Pérez, Martín",672695,527048,"field_out","hit_into_play",NA,NA,NA,NA,1,"Geraldo Perdomo grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez. Jake McCarthy scores. Gabriel Moreno to 3rd.","R","R","L","AZ","SD","X",4,"ground_ball",1,0,2024,-0.19,0.88,-0.28,3.22,664983,672515,NA,1,4,"Bot",140.52,168.82,NA,NA,NA,NA,-3.00351331509204,-127.823592434983,-1.62666965708981,-1.52551207026575,24.8180029758407,-22.3271119808553,3.48,1.64,20,81.6,-7,87.6,2295,6,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.49,0.137,0.117,0,1,0,0,2,33,2,"Cutter",3,1,3,1,1,4,4,1,"Strategic","Standard",160,0.013,-0.212,61.2,5.6,0.19,0.212,88,2,2,0.851,0.851,33,24,33,25,2,1,8,1,NA,NA,2.06,-0.19,0.19,48.4
"8","FC",2024-09-29,88.8,1.14,5.55,"Pérez, Martín",672695,527048,"","ball",NA,NA,NA,NA,13,"Geraldo Perdomo grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez. Jake McCarthy scores. Gabriel Moreno to 3rd.","R","R","L","AZ","SD","B",NA,"",0,0,2024,0.18,0.94,-0.96,2.14,664983,672515,NA,1,4,"Bot",NA,NA,NA,NA,NA,NA,-5.47394480428766,-129.212092511861,-4.28104615035116,3.06992291031983,25.5618494620479,-20.915133018306,3.58,1.68,NA,NA,NA,88.6,2339,6.1,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.44,NA,NA,NA,NA,NA,NA,NA,33,1,"Cutter",3,1,3,1,1,3,3,1,"Strategic","Standard",149,0,0.025,NA,NA,NA,-0.025,NA,2,2,0.851,0.851,33,24,33,25,2,1,8,1,NA,NA,1.94,0.18,-0.18,44.5
"9","FF",2024-09-29,90.6,0.84,5.59,"Pérez, Martín",672515,527048,"double","hit_into_play",NA,NA,NA,NA,4,"Gabriel Moreno doubles (18) on a sharp line drive to left fielder David Peralta. Eugenio Suárez scores. Jake McCarthy to 3rd.","R","R","L","AZ","SD","X",7,"line_drive",1,1,2024,0.76,1.35,-0.31,2.55,NA,553993,664983,1,4,"Bot",68.73,55.18,NA,NA,NA,NA,-4.49091086975032,-131.774241982851,-4.50201380058413,9.84237105989032,28.5046755264667,-15.7133981085192,3.39,1.55,381,110.1,20,90.1,2166,6.1,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.43,0.869,1.411,1.25,1,1,1,6,32,3,"4-Seam Fastball",2,1,2,1,1,3,3,1,"Standard","Standard",139,0.127,0.833,NA,NA,2.518,-0.833,110.1,1,1,0.724,0.724,33,24,33,24,2,1,8,1,NA,NA,1.43,0.76,-0.76,53.6
"10","CH",2024-09-29,83.3,1.12,5.56,"Pérez, Martín",672515,527048,"","called_strike",NA,NA,NA,NA,13,"Gabriel Moreno doubles (18) on a sharp line drive to left fielder David Peralta. Eugenio Suárez scores. Jake McCarthy to 3rd.","R","R","L","AZ","SD","S",NA,"",1,0,2024,1.23,0.96,-0.1,1.4,NA,553993,664983,1,4,"Bot",NA,NA,NA,NA,NA,NA,-5.21118929185375,-121.2418094981,-4.98481642213984,13.1850120416491,23.4035125899574,-21.9713252321756,3.3,1.58,NA,NA,NA,83.1,1655,6.1,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.4,NA,NA,NA,NA,NA,NA,NA,32,2,"Changeup",2,1,2,1,1,2,2,1,"Standard","Standard",126,0,-0.054,NA,NA,NA,0.054,NA,1,1,0.724,0.724,33,24,33,24,2,1,8,1,NA,NA,2.32,1.23,-1.23,43.1
"11","CU",2024-09-29,78.6,1.12,5.76,"Pérez, Martín",672515,527048,"","ball",NA,NA,NA,NA,8,"Gabriel Moreno doubles (18) on a sharp line drive to left fielder David Peralta. Eugenio Suárez scores. Jake McCarthy to 3rd.","R","R","L","AZ","SD","B",NA,"",0,0,2024,-0.2,-0.27,-0.19,1.53,NA,553993,664983,1,4,"Bot",NA,NA,NA,NA,NA,NA,-2.4673276661917,-114.533614188746,-1.88399693846416,-1.30459389287907,20.029243492438,-34.42415481024,3.31,1.47,NA,NA,NA,78.4,2564,6,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.55,NA,NA,NA,NA,NA,NA,NA,32,1,"Curveball",2,1,2,1,1,2,2,1,"Standard","Standard",312,0,0.03,NA,NA,NA,-0.03,NA,1,1,0.724,0.724,33,24,33,24,2,1,8,1,NA,NA,3.93,-0.2,0.2,50.1
"12","SI",2024-09-29,90.5,1.05,5.57,"Pérez, Martín",664983,527048,"single","hit_into_play",NA,NA,NA,NA,9,"Jake McCarthy singles on a ground ball to right fielder Brandon Lockridge. Randal Grichuk scores. Eugenio Suárez to 2nd.","R","L","L","AZ","SD","X",9,"ground_ball",1,1,2024,1.42,0.97,0.56,1.89,NA,545341,553993,1,4,"Bot",179.5,109.09,NA,NA,NA,NA,-4.24852141166494,-131.661500729363,-5.28633365090494,17.461791236882,28.737269054848,-19.9335267376102,3.45,1.63,84,100.5,4,90.2,2118,6.2,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.34,0.52,0.48,0.9,1,1,0,4,31,3,"Sinker",1,1,1,1,1,2,2,1,"Standard","Standard",138,0.12,0.504,67.4,6.6,0.587,-0.504,100.5,0,0,0.604,0.604,33,26,33,27,2,1,8,1,NA,NA,1.82,1.42,1.42,44.3
"13","FC",2024-09-29,85.6,1.32,5.44,"Pérez, Martín",664983,527048,"","ball",NA,NA,NA,NA,13,"Jake McCarthy singles on a ground ball to right fielder Brandon Lockridge. Randal Grichuk scores. Eugenio Suárez to 2nd.","R","L","L","AZ","SD","B",NA,"",0,1,2024,-0.14,0.98,-1.22,0.86,NA,545341,553993,1,4,"Bot",NA,NA,NA,NA,NA,NA,-5.68973693041984,-124.487929560534,-6.56242015122167,-0.406751076939755,22.6015475315243,-20.8458616199084,3.19,1.61,NA,NA,NA,85.8,2391,6.2,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.29,NA,NA,NA,NA,NA,NA,NA,31,2,"Cutter",1,1,1,1,1,1,1,1,"Standard","Standard",167,0,0.015,NA,NA,NA,-0.015,NA,0,0,0.604,0.604,33,26,33,27,2,1,8,1,NA,NA,2.11,-0.14,-0.14,42.7
"14","FC",2024-09-29,84.8,1.22,5.52,"Pérez, Martín",664983,527048,"","swinging_strike",NA,NA,NA,NA,13,"Jake McCarthy singles on a ground ball to right fielder Brandon Lockridge. Randal Grichuk scores. Eugenio Suárez to 2nd.","R","L","L","AZ","SD","S",NA,"",0,0,2024,-0.2,0.88,-0.64,1.35,NA,545341,553993,1,4,"Bot",NA,NA,NA,NA,NA,NA,-3.95896373053234,-123.482183569835,-5.22895585425137,-1.31920635952189,22.9570359971129,-22.305588447937,3.45,1.63,NA,NA,NA,84.9,2418,6.2,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.34,NA,NA,NA,NA,NA,NA,NA,31,1,"Cutter",1,1,1,1,1,1,1,1,"Standard","Standard",158,0,-0.039,71.1,7.8,NA,0.039,NA,0,0,0.604,0.604,33,26,33,27,2,1,8,1,NA,NA,2.26,-0.2,-0.2,45.2
"15","CU",2024-09-29,79.7,1.03,5.79,"Pérez, Martín",553993,527048,"single","hit_into_play",NA,NA,NA,NA,7,"Eugenio Suárez singles on a line drive to center fielder Jackson Merrill. Christian Walker scores. Randal Grichuk to 2nd.","R","R","L","AZ","SD","X",8,"line_drive",0,0,2024,-0.32,-0.39,-0.41,1.66,572233,NA,545341,1,4,"Bot",101.54,75.74,NA,NA,NA,NA,-2.54834074449021,-116.138508064268,-1.6606576457976,-2.46187217822145,20.7261972831273,-35.6169790428625,3.46,1.59,246,97.5,15,79.5,2725,6,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.5,0.831,0.848,0.9,1,1,0,4,30,1,"Curveball",0,1,0,1,1,1,1,1,"Standard","Standard",309,0.096,0.454,72.7,7.4,1.093,-0.454,97.5,-1,-1,0.508,0.508,33,32,33,33,2,1,8,1,NA,NA,3.95,-0.32,0.32,55.8
"16","FF",2024-09-29,89,1.09,5.62,"Pérez, Martín",545341,527048,"single","hit_into_play",NA,NA,NA,NA,4,"Randal Grichuk singles on a ground ball to left fielder David Peralta. Christian Walker to 3rd.","R","R","L","AZ","SD","X",7,"ground_ball",0,0,2024,0.59,1.21,-0.51,2.38,NA,572233,NA,1,4,"Bot",82.82,107.57,NA,NA,NA,NA,-5.14672313787883,-129.595677536228,-4.4692023836635,7.73246098431165,26.1665312507074,-17.7845026009844,3.23,1.46,96,106.8,5,89,2302,6.2,747147,553869,650333,630105,642180,605113,444482,701538,663604,54.33,0.626,0.592,0.9,1,1,0,4,29,1,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",145,0.061,0.556,74.4,7.3,0.714,-0.556,106.8,-1,-1,0.447,0.447,33,32,33,33,2,1,8,1,NA,NA,1.66,0.59,-0.59,48.9
