"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","CH",2023-10-01,89,-2.8,5.59,"Robertson, Nick",677008,687798,"field_out","hit_into_play",NA,NA,NA,NA,9,"Heston Kjerstad grounds out, first baseman Bobby Dalbec to pitcher Nick Robertson.","R","L","R","BAL","BOS","X",3,"ground_ball",2,2,2023,-1.53,0.33,0.33,2.01,NA,NA,NA,2,9,"Bot",158.28,166.83,NA,NA,NA,NA,11.1229852940289,-129.176025111398,-3.49207956398582,-19.471845066421,26.0552626537799,-27.9220642841312,3.81,1.74,6,96.4,-17,90.7,1703,7.4,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.11,0.149,0.159,0,1,0,0,2,73,6,"Changeup",1,6,1,6,6,1,1,6,"Infield shade","Standard",250,0,-0.233,66.5,6.5,0.157,0.233,96.4,-5,-5,0,0,24,24,25,24,1,3,11,1,NA,NA,2.55,1.53,-1.53,31.7
"2","FF",2023-10-01,96.9,-2.4,5.9,"Robertson, Nick",677008,687798,"","foul",NA,NA,NA,NA,5,"Heston Kjerstad grounds out, first baseman Bobby Dalbec to pitcher Nick Robertson.","R","L","R","BAL","BOS","S",NA,"",2,2,2023,-0.76,1.36,0.09,2.71,NA,NA,NA,2,9,"Bot",NA,NA,NA,NA,NA,NA,8.55821517669751,-140.741874198715,-6.148395913808,-12.1167623858264,34.2592010476588,-12.8364339728204,3.81,1.74,223,78.2,56,98.4,2153,7.4,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.13,NA,NA,NA,NA,NA,NA,NA,73,5,"4-Seam Fastball",1,6,1,6,6,1,1,6,"Infield shade","Standard",211,0,0,70.8,6.7,NA,0,88,-5,-5,0,0,24,24,25,24,1,3,11,1,NA,NA,1.09,0.76,-0.76,47.4
"3","CH",2023-10-01,90,-2.93,5.56,"Robertson, Nick",677008,687798,"","ball",NA,NA,NA,NA,13,"Heston Kjerstad grounds out, first baseman Bobby Dalbec to pitcher Nick Robertson.","R","L","R","BAL","BOS","B",NA,"",1,2,2023,-1.65,0.36,-0.24,0.53,NA,NA,NA,2,9,"Bot",NA,NA,NA,NA,NA,NA,10.3280331938452,-130.515461994286,-7.37155803168649,-20.9784317224393,27.3396565833895,-26.5997172254074,3.71,1.78,NA,NA,NA,91.5,1698,7.4,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.14,NA,NA,NA,NA,NA,NA,NA,73,4,"Changeup",1,6,1,6,6,1,1,6,"Infield shade","Standard",250,0,0.041,NA,NA,NA,-0.041,NA,-5,-5,0,0,24,24,25,24,1,3,11,1,NA,NA,2.47,1.65,-1.65,30.3
"4","ST",2023-10-01,82.2,-3.09,5.55,"Robertson, Nick",677008,687798,"","ball",NA,NA,NA,NA,14,"Heston Kjerstad grounds out, first baseman Bobby Dalbec to pitcher Nick Robertson.","R","L","R","BAL","BOS","B",NA,"",0,2,2023,1.43,0.28,0.81,0.49,NA,NA,NA,2,9,"Bot",NA,NA,NA,NA,NA,NA,6.10801258716797,-119.483805071442,-5.43546698820929,12.1552213282174,26.6463009601093,-28.4919284546437,3.78,1.74,NA,NA,NA,82.4,2786,6.9,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.63,NA,NA,NA,NA,NA,NA,NA,73,3,"Sweeper",1,6,1,6,6,1,1,6,"Infield shade","Standard",58,0,0.022,NA,NA,NA,-0.022,NA,-5,-5,0,0,24,24,25,24,1,3,11,1,NA,NA,3.14,-1.43,1.43,28.9
"5","CH",2023-10-01,89.2,-2.87,5.58,"Robertson, Nick",677008,687798,"","swinging_strike",NA,NA,NA,NA,7,"Heston Kjerstad grounds out, first baseman Bobby Dalbec to pitcher Nick Robertson.","R","L","R","BAL","BOS","S",NA,"",0,1,2023,-1.49,0.31,-0.78,2.05,NA,NA,NA,2,9,"Bot",NA,NA,NA,NA,NA,NA,8.41744313021926,-129.604641406612,-3.33637035056917,-18.5544553246085,27.6508623105528,-28.1487960758506,3.81,1.74,NA,NA,NA,90.5,1589,7.2,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.29,NA,NA,NA,NA,NA,NA,NA,73,2,"Changeup",1,6,1,6,6,1,1,6,"Infield shade","Standard",257,0,-0.061,77.9,7.8,NA,0.061,NA,-5,-5,0,0,24,24,25,24,1,3,11,1,NA,NA,2.57,1.49,-1.49,34.3
"6","FF",2023-10-01,96.2,-2.37,5.96,"Robertson, Nick",677008,687798,"","swinging_strike",NA,NA,NA,NA,3,"Heston Kjerstad grounds out, first baseman Bobby Dalbec to pitcher Nick Robertson.","R","L","R","BAL","BOS","S",NA,"",0,0,2023,-0.71,1.4,0.59,3.56,NA,NA,NA,2,9,"Bot",NA,NA,NA,NA,NA,NA,9.62606706611234,-139.750856804741,-3.98214672647261,-11.6308165636594,33.8931581802003,-13.1128267612728,3.81,1.74,NA,NA,NA,97.4,2213,7.3,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.24,NA,NA,NA,NA,NA,NA,NA,73,1,"4-Seam Fastball",1,6,1,6,6,1,1,6,"Infield shade","Standard",215,0,-0.045,73.1,6,NA,0.045,NA,-5,-5,0,0,24,24,25,24,1,3,11,1,NA,NA,1.08,0.71,-0.71,43.8
"7","CH",2023-10-01,88.2,-2.86,5.51,"Robertson, Nick",602104,687798,"strikeout","swinging_strike",NA,NA,NA,NA,13,"Ramon Urias strikes out swinging.","R","R","R","BAL","BOS","S",2,"",2,2,2023,-1.45,0.43,-0.82,1.19,NA,NA,NA,1,9,"Bot",NA,NA,NA,NA,NA,NA,8.1234105128741,-128.12344450553,-5.37302937163599,-17.6055291813272,26.5458987216481,-26.498222396393,3.12,1.46,NA,NA,NA,89.6,1656,7.2,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.26,NA,0,0,1,0,0,NA,72,6,"Changeup",1,6,1,6,6,1,1,6,"Standard","Standard",254,-0.002,-0.234,66.2,8.5,NA,0.234,NA,-5,-5,0.002,0.002,24,29,25,29,1,0,11,1,NA,6,2.51,1.45,1.45,31.8
"8","FF",2023-10-01,95.7,-2.4,5.8,"Robertson, Nick",602104,687798,"","foul",NA,NA,NA,NA,6,"Ramon Urias strikes out swinging.","R","R","R","BAL","BOS","S",NA,"",2,2,2023,-0.48,1.3,0.5,2.09,NA,NA,NA,1,9,"Bot",NA,NA,NA,NA,NA,NA,8.91698991247468,-138.968451454375,-7.23024971190858,-8.15368824468847,30.2746847235997,-13.8038864512726,3.12,1.46,299,87.9,30,97.5,2097,7.4,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.12,NA,NA,NA,NA,NA,NA,NA,72,5,"4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard",210,0,0,67,7.4,NA,0,88,-5,-5,0.002,0.002,24,29,25,29,1,0,11,1,NA,6,1.19,0.48,0.48,38.4
"9","ST",2023-10-01,79.4,-2.96,5.67,"Robertson, Nick",602104,687798,"","ball",NA,NA,NA,NA,11,"Ramon Urias strikes out swinging.","R","R","R","BAL","BOS","B",NA,"",1,2,2023,1.66,-0.2,-1.84,4.08,NA,NA,NA,1,9,"Bot",NA,NA,NA,NA,NA,NA,-0.672900862879267,-115.511662193824,3.70415207480896,15.0199664951777,21.5847647174751,-34.8993826748233,3.07,1.51,NA,NA,NA,79.9,2744,6.6,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.85,NA,NA,NA,NA,NA,NA,NA,72,4,"Sweeper",1,6,1,6,6,1,1,6,"Standard","Standard",60,0,0.045,NA,NA,NA,-0.045,NA,-5,-5,0.002,0.002,24,29,25,29,1,0,11,1,NA,6,3.82,-1.66,-1.66,32.4
"10","ST",2023-10-01,82.9,-2.82,5.66,"Robertson, Nick",602104,687798,"","ball",NA,NA,NA,NA,14,"Ramon Urias strikes out swinging.","R","R","R","BAL","BOS","B",NA,"",0,2,2023,1.16,0.01,1.13,0.97,NA,NA,NA,1,9,"Bot",NA,NA,NA,NA,NA,NA,6.83770922951047,-120.679820936985,-4.33055040526094,10.1039698890292,22.0625984078426,-31.487899609761,3.1,1.46,NA,NA,NA,84.1,2754,6.9,716367,657136,666915,665839,622569,596115,677800,678882,608701,53.57,NA,NA,NA,NA,NA,NA,NA,72,3,"Sweeper",1,6,1,6,6,1,1,6,"Standard","Standard",62,0,0.019,NA,NA,NA,-0.019,NA,-5,-5,0.002,0.002,24,29,25,29,1,0,11,1,NA,6,3.29,-1.16,-1.16,32.8
