"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","FF",2023-09-30,93.3,1.77,5.07,"Moll, Sam",680700,594580,"force_out","hit_into_play",NA,NA,NA,NA,5,"Richie Palacios grounds into a force out, third baseman Noelvi Marte to shortstop Elly De La Cruz.   Ivan Herrera out at 2nd.    Richie Palacios to 1st.","R","L","L","STL","CIN","X",5,"ground_ball",1,2,2023,0.37,0.44,0.03,2.72,NA,NA,671056,1,6,"Bot",106.59,170.23,NA,NA,NA,NA,-5.11112393852462,-135.886505815696,-1.26040528328935,5.71033397781649,28.2217100264,-26.680891498556,3.31,1.57,17,93.5,-8,90.8,2643,4.6,716372,663886,668715,663697,682622,682829,605361,670770,666181,55.91,0.237,0.226,0,1,0,0,2,65,4,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Infield shade","Standard",135,-0.001,-0.261,NA,NA,0.299,0.261,93.5,6,6,0.988,0.988,31,26,31,26,1,3,4,1,NA,1,2.17,0.37,0.37,16.4
"2","ST",2023-09-30,82.1,1.99,4.85,"Moll, Sam",680700,594580,"","ball",NA,NA,NA,NA,13,"Richie Palacios grounds into a force out, third baseman Noelvi Marte to shortstop Elly De La Cruz.   Ivan Herrera out at 2nd.    Richie Palacios to 1st.","R","L","L","STL","CIN","B",NA,"",0,2,2023,-1.46,0.02,-3.88,2.08,NA,NA,671056,1,6,"Bot",NA,NA,NA,NA,NA,NA,-10.2646001483528,-119.044764607185,0.367064865602132,-11.39173695585,26.659729432592,-32.305003998112,3.44,1.57,NA,NA,NA,80.1,3079,5.5,716372,663886,668715,663697,682622,682829,605361,670770,666181,55.03,NA,NA,NA,NA,NA,NA,NA,65,3,"Sweeper",11,5,11,5,5,11,11,5,"Infield shade","Standard",297,0,0.023,NA,NA,NA,-0.023,NA,6,6,0.988,0.988,31,26,31,26,1,3,4,1,NA,1,3.43,-1.46,-1.46,17.2
"3","ST",2023-09-30,80.8,2.18,4.86,"Moll, Sam",680700,594580,"","foul",NA,NA,NA,NA,9,"Richie Palacios grounds into a force out, third baseman Noelvi Marte to shortstop Elly De La Cruz.   Ivan Herrera out at 2nd.    Richie Palacios to 1st.","R","L","L","STL","CIN","S",NA,"",0,1,2023,-1.19,-0.55,0.43,1.69,NA,NA,671056,1,6,"Bot",NA,NA,NA,NA,NA,NA,-1.59711792023738,-117.567688556165,0.655890422261726,-10.5797152134468,25.4097270860799,-37.5883635336898,3.31,1.57,1,83.3,-48,78.1,3143,4.7,716372,663886,668715,663697,682622,682829,605361,670770,666181,55.78,NA,NA,NA,NA,NA,NA,NA,65,2,"Sweeper",11,5,11,5,5,11,11,5,"Standard","Standard",302,0,-0.053,64.3,7,NA,0.053,88,6,6,0.988,0.988,31,26,31,26,1,3,4,1,NA,1,4.08,-1.19,-1.19,15.3
"4","FF",2023-09-30,91.5,2.12,4.93,"Moll, Sam",680700,594580,"","called_strike",NA,NA,NA,NA,6,"Richie Palacios grounds into a force out, third baseman Noelvi Marte to shortstop Elly De La Cruz.   Ivan Herrera out at 2nd.    Richie Palacios to 1st.","R","L","L","STL","CIN","S",NA,"",0,0,2023,1.08,0.75,0.31,2.31,NA,NA,671056,1,6,"Bot",NA,NA,NA,NA,NA,NA,-6.63868126075223,-133.13661383821,-2.32143087198726,14.2124938778495,27.507074365877,-22.9214468921565,3.64,1.67,NA,NA,NA,88.7,2506,4.5,716372,663886,668715,663697,682622,682829,605361,670770,666181,56.02,NA,NA,NA,NA,NA,NA,NA,65,1,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Infield shade","Standard",104,0,-0.042,NA,NA,NA,0.042,NA,6,6,0.988,0.988,31,26,31,26,1,3,4,1,NA,1,1.96,1.08,1.08,16.4
"5","CH",2023-09-30,88.3,2.01,4.85,"Moll, Sam",671056,594580,"walk","ball",NA,NA,NA,NA,12,"Ivan Herrera walks.","R","R","L","STL","CIN","B",NA,"",3,1,2023,1.33,-0.22,1,3.2,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,NA,NA,-5.06247365783374,-128.576939607471,2.35891611094378,15.846287403536,24.5047353130868,-35.2918053413188,3.14,1.49,NA,NA,NA,86.2,2116,4.7,716372,663886,668715,663697,682622,682829,605361,670770,666181,55.79,NA,0.695903,0.7,1,0,0,NA,64,5,"Changeup",11,5,11,5,5,11,11,5,"Strategic","Standard",102,0.001,0.255,NA,NA,NA,-0.255,NA,6,6,0.987,0.987,31,23,31,23,1,3,4,3,NA,NA,3.12,1.33,-1.33,15
"6","FF",2023-09-30,88.8,2.18,4.86,"Moll, Sam",671056,594580,"","called_strike",NA,NA,NA,NA,3,"Ivan Herrera walks.","R","R","L","STL","CIN","S",NA,"",3,0,2023,0.94,0.95,0.48,2.83,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,NA,NA,-5.92901647389935,-129.269181275678,-0.953305907856358,11.6933043014984,24.6745915443441,-21.4506140174209,3.19,1.54,NA,NA,NA,86.7,2351,4.7,716372,663886,668715,663697,682622,682829,605361,670770,666181,55.79,NA,NA,NA,NA,NA,NA,NA,64,4,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Standard","Standard",108,0,-0.083,NA,NA,NA,0.083,NA,6,6,0.987,0.987,31,23,31,23,1,3,4,3,NA,NA,1.92,0.94,-0.94,15.5
"7","FF",2023-09-30,90.9,2.07,5.01,"Moll, Sam",671056,594580,"","ball",NA,NA,NA,NA,12,"Ivan Herrera walks.","R","R","L","STL","CIN","B",NA,"",2,0,2023,0.98,0.96,0.9,3.18,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,NA,NA,-4.85103111205262,-132.439144548569,-0.793867816658541,12.5647314388667,25.9381442280811,-20.7877621069501,3.14,1.42,NA,NA,NA,88.5,2420,4.5,716372,663886,668715,663697,682622,682829,605361,670770,666181,55.97,NA,NA,NA,NA,NA,NA,NA,64,3,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Strategic","Standard",115,0,0.142,NA,NA,NA,-0.142,NA,6,6,0.987,0.987,31,23,31,23,1,3,4,3,NA,NA,1.77,0.98,-0.98,18.7
"8","SI",2023-09-30,91.3,2.16,4.97,"Moll, Sam",671056,594580,"","ball",NA,NA,NA,NA,12,"Ivan Herrera walks.","R","R","L","STL","CIN","B",NA,"",1,0,2023,1.29,-0.17,2.27,3.63,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,NA,NA,-2.38478142788757,-133.013217473674,2.71379106203085,15.7926991221036,27.93370442941,-34.9208982713863,3.12,1.47,NA,NA,NA,88.8,2369,4.6,716372,663886,668715,663697,682622,682829,605361,670770,666181,55.85,NA,NA,NA,NA,NA,NA,NA,64,2,"Sinker",11,5,11,5,5,11,11,5,"Standard","Standard",112,0,0.066,NA,NA,NA,-0.066,NA,6,6,0.987,0.987,31,23,31,23,1,3,4,3,NA,NA,2.89,1.29,-1.29,18.7
"9","ST",2023-09-30,78.8,2.42,4.78,"Moll, Sam",671056,594580,"","ball",NA,NA,NA,NA,12,"Ivan Herrera walks.","R","R","L","STL","CIN","B",NA,"",0,0,2023,-1.29,0.06,2.97,3.13,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,NA,NA,3.4539319189166,-114.780535023744,2.92351875815248,-12.081674197063,19.8142839834425,-32.3658810083523,3.14,1.52,NA,NA,NA,76.6,3044,4.5,716372,663886,668715,663697,682622,682829,605361,670770,666181,55.99,NA,NA,NA,NA,NA,NA,NA,64,1,"Sweeper",11,5,11,5,5,11,11,5,"Standard","Standard",293,0,0.039,NA,NA,NA,-0.039,NA,6,6,0.987,0.987,31,23,31,23,1,3,4,3,NA,NA,3.58,-1.29,1.29,8.6
"10","FF",2023-09-30,94.2,1.92,5.26,"Moll, Sam",691023,594580,"field_out","hit_into_play",NA,NA,NA,NA,4,"Jordan Walker lines out to second baseman Jonathan India.","R","R","L","STL","CIN","X",4,"line_drive",1,2,2023,0.68,0.86,-0.43,3.05,NA,NA,NA,0,6,"Bot",130.52,140.76,NA,NA,NA,NA,-7.38982189680853,-137.083373566215,-1.95169623523425,10.1839461310234,28.5679000486056,-21.01456717713,3.78,1.79,153,61.7,18,91.8,2492,4.7,716372,663886,668715,663697,682622,682829,605361,670770,666181,55.77,0.317,0.285,0,1,0,0,2,63,4,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Standard","Standard",111,-0.001,-0.193,75.2,6.9,0.317,0.193,88,6,6,0.988,0.988,31,21,31,21,1,3,4,1,NA,1,1.69,0.68,-0.68,19.5
