"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","FC",2024-09-19,90.3,-1.6,5.94,"Armstrong, Shawn",671117,542888,"double","hit_into_play",NA,NA,NA,NA,4,"Darren Baker doubles (2) on a ground ball to left fielder Ian Happ. Juan Yepez to 3rd.","R","L","R","CHC","WSH","X",7,"ground_ball",1,1,2024,0.35,0.58,-0.38,2.59,NA,NA,660766,2,6,"Top",73.21,154.39,NA,NA,NA,NA,2.30874665502553,-131.642160216938,-3.73121295510878,3.73987079521323,24.1572760181208,-24.9138351452865,3.3,1.5,133,71.4,11,91.3,2369,6.5,746823,665804,683737,663538,670623,621020,664023,691718,641355,54.03,0.291,0.262,1.25,1,1,1,2,51,3,"Cutter",5,3,3,5,3,5,3,5,"Standard","Standard",178,-0.051,0.879,67,6.7,0.319,-0.879,88,2,-2,0.822,0.178,33,25,34,25,1,2,2,1,NA,1,2.18,-0.35,0.35,46.7
"2","FC",2024-09-19,90.8,-1.55,5.97,"Armstrong, Shawn",671117,542888,"","called_strike",NA,NA,NA,NA,8,"Darren Baker doubles (2) on a ground ball to left fielder Ian Happ. Juan Yepez to 3rd.","R","L","R","CHC","WSH","S",NA,"",1,0,2024,0.28,0.78,-0.27,1.77,NA,NA,660766,2,6,"Top",NA,NA,NA,NA,NA,NA,2.63655733348724,-132.358250240425,-6.42300661559934,2.80287237006335,23.6209803486656,-21.8691522715283,3.33,1.58,NA,NA,NA,92,2300,6.6,746823,665804,683737,663538,670623,621020,664023,691718,641355,53.92,NA,NA,NA,NA,NA,NA,NA,51,2,"Cutter",5,3,3,5,3,5,3,5,"Standard","Standard",188,0,-0.048,NA,NA,NA,0.048,NA,2,-2,0.822,0.178,33,25,34,25,1,2,2,1,NA,1,1.93,-0.28,0.28,41.8
"3","FC",2024-09-19,91.7,-1.54,6,"Armstrong, Shawn",671117,542888,"","ball",NA,NA,NA,NA,11,"Darren Baker doubles (2) on a ground ball to left fielder Ian Happ. Juan Yepez to 3rd.","R","L","R","CHC","WSH","B",NA,"",0,0,2024,0.32,0.72,-0.27,3.84,NA,NA,660766,2,6,"Top",NA,NA,NA,NA,NA,NA,2.54716547486539,-133.643694035571,-1.24288389381674,3.35986064031674,24.5040073512322,-23.4494831484933,3.42,1.59,NA,NA,NA,92.5,2302,6.3,746823,665804,683737,663538,670623,621020,664023,691718,641355,54.15,NA,NA,NA,NA,NA,NA,NA,51,1,"Cutter",5,3,3,5,3,5,3,5,"Standard","Standard",186,0,0.034,NA,NA,NA,-0.034,NA,2,-2,0.822,0.178,33,25,34,25,1,2,2,1,NA,1,1.95,-0.32,0.32,39.4
"4","SI",2024-09-19,94.5,-1.51,5.83,"Armstrong, Shawn",660766,542888,"single","hit_into_play",NA,NA,NA,NA,5,"Juan Yepez singles on a sharp line drive to right fielder Cody Bellinger.","R","R","R","CHC","WSH","X",9,"line_drive",3,2,2024,-1.09,0.77,0.17,2.25,NA,NA,NA,2,6,"Top",179.97,91.33,NA,NA,NA,NA,6.85795771647943,-137.529435045318,-5.4585583163784,-15.2626573012738,26.7909585365332,-21.4085122933249,3.32,1.59,252,102,12,95.6,1989,6.7,746823,665804,683737,663538,670623,621020,664023,691718,641355,53.83,0.931,0.921,0.9,1,1,0,4,50,9,"Sinker",5,3,3,5,3,5,3,5,"Strategic","Standard",225,-0.018,0.263,68.2,6.5,1.187,-0.263,102,2,-2,0.84,0.16,33,26,34,26,1,2,2,1,NA,2,1.76,1.09,1.09,40
"5","FC",2024-09-19,91.8,-1.49,5.93,"Armstrong, Shawn",660766,542888,"","foul",NA,NA,NA,NA,2,"Juan Yepez singles on a sharp line drive to right fielder Cody Bellinger.","R","R","R","CHC","WSH","S",NA,"",3,2,2024,0.28,0.77,0.25,3.15,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,NA,NA,3.79604720651652,-133.781776425389,-2.95322661044446,2.72629975594426,25.0577115899116,-22.4974302540221,3.32,1.59,252,75.4,38,92.9,2499,6.6,746823,665804,683737,663538,670623,621020,664023,691718,641355,53.93,NA,NA,NA,NA,NA,NA,NA,50,8,"Cutter",5,3,3,5,3,5,3,5,"Standard","Standard",184,0,0,69.6,6.8,NA,0,88,2,-2,0.84,0.16,33,26,34,26,1,2,2,1,NA,2,1.9,-0.28,-0.28,42.7
"6","SV",2024-09-19,85.8,-1.27,6.07,"Armstrong, Shawn",660766,542888,"","ball",NA,NA,NA,NA,14,"Juan Yepez singles on a sharp line drive to right fielder Cody Bellinger.","R","R","R","CHC","WSH","B",NA,"",2,2,2024,0.8,-0.24,1.23,2.02,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,NA,NA,4.31190635385885,-124.957349643085,-2.91061924232538,7.70259641811773,22.4846396327814,-34.3672589675159,3.16,1.54,NA,NA,NA,86.7,2606,6.6,746823,665804,683737,663538,670623,621020,664023,691718,641355,53.91,NA,NA,NA,NA,NA,NA,NA,50,7,"Slurve",5,3,3,5,3,5,3,5,"Standard","Standard",99,0,0.106,NA,NA,NA,-0.106,NA,2,-2,0.84,0.16,33,26,34,26,1,2,2,1,NA,2,3.3,-0.8,-0.8,48
"7","FF",2024-09-19,94.7,-1.51,5.91,"Armstrong, Shawn",660766,542888,"","foul",NA,NA,NA,NA,4,"Juan Yepez singles on a sharp line drive to right fielder Cody Bellinger.","R","R","R","CHC","WSH","S",NA,"",2,2,2024,-0.53,1.19,-0.73,2.41,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,NA,NA,3.25868675270144,-137.857460767228,-6.15842415721527,-7.53549640029036,29.1055228671611,-15.8674910215009,3.32,1.59,8,82.8,-15,95.4,2206,6.6,746823,665804,683737,663538,670623,621020,664023,691718,641355,53.92,NA,NA,NA,NA,NA,NA,NA,50,6,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard",219,0,0,67.9,6.7,NA,0,88,2,-2,0.84,0.16,33,26,34,26,1,2,2,1,NA,2,1.34,0.53,0.53,40
"8","FF",2024-09-19,95,-1.56,5.91,"Armstrong, Shawn",660766,542888,"","foul",NA,NA,NA,NA,3,"Juan Yepez singles on a sharp line drive to right fielder Cody Bellinger.","R","R","R","CHC","WSH","S",NA,"",2,2,2024,-0.51,1.2,0.42,3.42,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,NA,NA,6.35015281165788,-138.400923921886,-3.69775087393793,-7.78443248456641,25.5727376674872,-15.9636691155857,3.32,1.59,261,76.7,46,96.3,2266,6.6,746823,665804,683737,663538,670623,621020,664023,691718,641355,53.92,NA,NA,NA,NA,NA,NA,NA,50,5,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard",211,0,0,66.1,6.1,NA,0,88,2,-2,0.84,0.16,33,26,34,26,1,2,2,1,NA,2,1.28,0.51,0.51,39.7
"9","FC",2024-09-19,93.6,-1.54,5.97,"Armstrong, Shawn",660766,542888,"","swinging_strike",NA,NA,NA,NA,2,"Juan Yepez singles on a sharp line drive to right fielder Cody Bellinger.","R","R","R","CHC","WSH","S",NA,"",2,1,2024,0.17,0.97,0.16,2.99,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,NA,NA,4.02209317781375,-136.342150877641,-4.20535277473042,1.44328084692583,25.4163005026402,-19.3282722685761,3.32,1.59,NA,NA,NA,94.6,2399,6.5,746823,665804,683737,663538,670623,621020,664023,691718,641355,54.03,NA,NA,NA,NA,NA,NA,NA,50,4,"Cutter",5,3,3,5,3,5,3,5,"Standard","Standard",194,0,-0.084,73,6.7,NA,0.084,NA,2,-2,0.84,0.16,33,26,34,26,1,2,2,1,NA,2,1.59,-0.17,-0.17,43.9
"10","SI",2024-09-19,95.1,-1.43,5.89,"Armstrong, Shawn",660766,542888,"","ball",NA,NA,NA,NA,14,"Juan Yepez singles on a sharp line drive to right fielder Cody Bellinger.","R","R","R","CHC","WSH","B",NA,"",1,1,2024,-1.17,0.85,1.33,1.38,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,NA,NA,9.89485373605619,-138.078838662305,-8.16554577644381,-17.0192964289937,26.4414089470537,-19.7243293394832,3.39,1.68,NA,NA,NA,96.1,2038,6.7,746823,665804,683737,663538,670623,621020,664023,691718,641355,53.85,NA,NA,NA,NA,NA,NA,NA,50,3,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",216,0,0.058,NA,NA,NA,-0.058,NA,2,-2,0.84,0.16,33,26,34,26,1,2,2,1,NA,2,1.65,1.17,1.17,39.6
