"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","CH",2021-09-28,84.6,3.31,4.99,"Watson, Tony",608348,453265,"field_out","hit_into_play",NA,NA,NA,NA,14,"Carson Kelly grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.","R","R","L","SF","AZ","X",6,"ground_ball",0,2,2021,1.83,0.51,0.94,1.5,NA,NA,NA,2,7,"Top",111.48,164.88,NA,NA,NA,NA,-9.10234698676464,-122.7377882057,-2.69899623244725,20.3550025631698,26.9817037455757,-26.6910723023636,3.47,1.59,3,59.6,-30,83.7,2328,6.1,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.39,0.057,0.058,0,1,0,0,2,60,3,"Changeup",5,2,2,5,2,5,2,5,"Standard","Standard",100,0.008,-0.159,NA,NA,0.057,0.159,88,3,-3,0.938,0.062,36,26,36,27,1,0,3,2,NA,1,2.72,1.83,-1.83,15.2
"2","SI",2021-09-28,90.9,3.25,5.04,"Watson, Tony",608348,453265,"","swinging_strike",NA,NA,NA,NA,1,"Carson Kelly grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.","R","R","L","SF","AZ","S",NA,"",0,1,2021,1.59,0.91,-0.7,3.09,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,-13.2164937689312,-131.684931795144,-0.809958736583532,21.4441436637071,30.3389545006146,-21.7119078115659,3.47,1.59,NA,NA,NA,90,2245,6.1,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.35,NA,NA,NA,NA,NA,NA,NA,60,2,"Sinker",5,2,2,5,2,5,2,5,"Standard","Standard",169,0,-0.063,NA,NA,NA,0.063,NA,3,-3,0.938,0.062,36,26,36,27,1,0,3,2,NA,1,1.89,1.59,-1.59,16.2
"3","FF",2021-09-28,92.1,3.2,5.03,"Watson, Tony",608348,453265,"","called_strike",NA,NA,NA,NA,7,"Carson Kelly grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.","R","R","L","SF","AZ","S",NA,"",0,0,2021,1.37,0.92,-0.75,1.96,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,-12.9175859837345,-133.370675814988,-3.86901961467557,19.2114287461392,29.9877481247856,-20.5549344976508,3.38,1.57,NA,NA,NA,91.3,2441,6.2,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.33,NA,NA,NA,NA,NA,NA,NA,60,1,"4-Seam Fastball",5,2,2,5,2,5,2,5,"Standard","Standard",160,0,-0.047,NA,NA,NA,0.047,NA,3,-3,0.938,0.062,36,26,36,27,1,0,3,2,NA,1,1.81,1.37,-1.37,15.5
"4","SI",2021-09-28,90.1,3.32,5.02,"Watson, Tony",664983,453265,"home_run","hit_into_play",NA,NA,NA,NA,8,"Jake McCarthy homers (2) on a fly ball to left center field.","R","L","L","SF","AZ","X",NA,"fly_ball",2,0,2021,1.61,0.89,-0.25,2.01,NA,NA,NA,2,7,"Top",58.92,63.17,NA,NA,NA,NA,-12.1957447620369,-130.570070503905,-3.31231661861664,21.0998292001924,28.9593535960218,-21.4126895331205,3.47,1.59,375,103.6,28,89.1,2355,6,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.47,0.883,1.75,2,1,0,3,6,59,3,"Sinker",5,1,1,5,2,5,2,5,"Standard","Standard",63,-0.032,2.493,NA,NA,3.463,-2.493,103.6,4,-4,0.97,0.03,36,23,36,24,1,2,3,3,NA,1,1.95,1.61,1.61,16.8
"5","SI",2021-09-28,90.7,3.2,5.06,"Watson, Tony",664983,453265,"","ball",NA,NA,NA,NA,13,"Jake McCarthy homers (2) on a fly ball to left center field.","R","L","L","SF","AZ","B",NA,"",1,0,2021,1.55,0.81,-0.92,1.9,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,-13.4793114213025,-131.22654253068,-3.55950489198108,20.8668869454786,30.1510502888169,-22.2525402579367,3.61,1.72,NA,NA,NA,89.5,2300,6.1,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.44,NA,NA,NA,NA,NA,NA,NA,59,2,"Sinker",5,1,1,5,1,5,1,5,"Standard","Standard",98,0,0.062,NA,NA,NA,-0.062,NA,4,-4,0.97,0.03,36,23,36,24,1,2,3,3,NA,1,2.02,1.55,1.55,16.3
"6","SL",2021-09-28,80.9,3.19,5.12,"Watson, Tony",664983,453265,"","ball",NA,NA,NA,NA,13,"Jake McCarthy homers (2) on a fly ball to left center field.","R","L","L","SF","AZ","B",NA,"",0,0,2021,-0.15,0.14,-1.44,2.38,NA,NA,NA,2,7,"Top",NA,NA,NA,NA,NA,NA,-9.95155067751856,-117.408984060389,0.279858007403352,0.435493387503545,21.7095427413236,-31.1610713271995,3.49,1.58,NA,NA,NA,80.3,2257,5.9,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.55,NA,NA,NA,NA,NA,NA,NA,59,1,"Slider",5,1,1,5,1,5,1,5,"Standard","Standard",232,0,0.04,NA,NA,NA,-0.04,NA,4,-4,0.97,0.03,36,23,36,24,1,2,3,3,NA,1,3.35,-0.15,-0.15,19.6
"7","CH",2021-09-28,84.9,3.24,5.07,"Watson, Tony",572233,453265,"field_out","hit_into_play",NA,NA,NA,NA,6,"Christian Walker flies out to center fielder Steven Duggar.","R","R","L","SF","AZ","X",8,"fly_ball",0,0,2021,1.95,0.51,0.47,2.37,NA,NA,NA,1,7,"Top",147.96,94.38,NA,NA,NA,NA,-10.2707859988232,-123.170668111351,-0.932134673677146,21.8992898681622,26.2950510054836,-27.0441038075031,3.37,1.53,267,92,48,83.9,2414,6,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.51,0.006,0.007,0,1,0,0,3,58,1,"Changeup",5,1,1,5,1,5,1,5,"Strategic","Standard",107,0.009,-0.259,NA,NA,0.009,0.259,92,4,-4,0.961,0.039,36,30,36,30,1,0,3,2,NA,1,2.69,1.95,-1.95,16.2
"8","CH",2021-09-28,84.2,3.22,5.09,"Watson, Tony",545121,453265,"field_out","hit_into_play",NA,NA,NA,NA,3,"Ildemaro Vargas lines out to third baseman Evan Longoria.","R","R","L","SF","AZ","X",5,"line_drive",1,1,2021,1.88,0.78,0.74,3.43,NA,NA,NA,0,7,"Top",84.61,151.85,NA,NA,NA,NA,-9.39689734566011,-122.158052819906,1.07246016764266,20.7432273074125,26.6367998240572,-24.9368817721074,3.37,1.53,159,85.4,10,83.1,2315,6,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.55,0.491,0.442,0,1,0,0,4,57,3,"Changeup",5,1,1,5,1,5,1,5,"Standard","Standard",101,0.014,-0.257,NA,NA,0.497,0.257,88,4,-4,0.947,0.053,36,29,36,30,1,0,3,2,NA,1,2.48,1.88,-1.88,17.3
"9","SI",2021-09-28,91.7,3.04,5.13,"Watson, Tony",545121,453265,"","ball",NA,NA,NA,NA,13,"Ildemaro Vargas lines out to third baseman Evan Longoria.","R","R","L","SF","AZ","B",NA,"",0,1,2021,1.78,0.81,-1.79,1.83,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,NA,NA,-15.9565437189086,-132.42419533623,-4.09573285265491,24.5566897660578,30.8477991124348,-21.8797505709894,3.39,1.64,NA,NA,NA,90.7,2366,6.3,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.2,NA,NA,NA,NA,NA,NA,NA,57,2,"Sinker",5,1,1,5,1,5,1,5,"Standard","Standard",127,0,0.03,NA,NA,NA,-0.03,NA,4,-4,0.947,0.053,36,29,36,30,1,0,3,2,NA,1,1.96,1.78,-1.78,17.1
"10","CH",2021-09-28,84.3,3.27,5.09,"Watson, Tony",545121,453265,"","called_strike",NA,NA,NA,NA,2,"Ildemaro Vargas lines out to third baseman Evan Longoria.","R","R","L","SF","AZ","S",NA,"",0,0,2021,1.85,0.69,-0.1,2.64,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,NA,NA,-11.4367361337301,-122.199537947091,-0.584125164653602,20.8792925697503,26.3439266349854,-25.4650652652074,3.04,1.39,NA,NA,NA,83.5,2233,6.2,632307,457763,527038,456781,446334,543063,592178,621453,596103,54.29,NA,NA,NA,NA,NA,NA,NA,57,1,"Changeup",5,1,1,5,1,5,1,5,"Standard","Standard",113,0,-0.042,NA,NA,NA,0.042,NA,4,-4,0.947,0.053,36,29,36,30,1,0,3,2,NA,1,2.57,1.85,-1.85,18.4
